NAME,TEAM,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IB,HBP,SO,SF,SH,GDP,SB,CS,AVG
홍창기,Twins,144,651,524,172,140,26,2,4,103,52,109,4,16,95,2,2,6,23,8,0.328
이정후,Heroes,123,544,464,167,112,42,6,7,78,84,62,1,9,37,9,9,8,10,3,0.360
강백호,Wiz,142,628,516,179,122,40,1,16,76,102,104,10,0,85,8,8,7,10,5,0.347
최정,Landers,134,555,436,121,68,17,1,35,92,100,84,3,22,102,12,13,9,8,6,0.278
양의지,Dinos,141,570,480,156,95,29,2,30,81,111,69,5,11,60,10,10,12,2,1,0.325
알테어,Dinos,143,565,492,134,81,19,2,32,83,84,57,2,11,156,4,4,6,20,5,0.272
전준우,Giants,144,619,552,192,139,46,0,7,88,92,53,0,5,71,8,9,10,6,3,0.348
구자욱,Lions,139,610,543,166,104,30,10,22,107,88,48,3,6,98,12,13,9,27,4,0.306
정은원,Eagles,139,608,495,140,107,22,5,6,85,39,105,1,1,105,3,7,9,19,11,0.283
추신수,Landers,137,580,461,122,80,19,2,21,84,69,103,4,12,123,4,4,8,25,9,0.265
김재환,Bears,137,566,475,130,78,23,2,27,86,102,81,3,5,127,5,5,9,2,3,0.274
박건우,Bears,126,525,458,149,110,31,2,6,82,63,50,2,11,72,6,6,16,13,0,0.325
최재훈,Eagles,116,467,375,103,75,21,0,7,52,44,72,2,12,68,3,8,16,3,2,0.275
한유섬,Landers,135,519,442,123,73,18,1,31,71,95,60,4,10,96,6,7,11,1,0,0.278
강민호,Lions,123,462,406,118,78,22,0,18,55,67,45,4,4,53,7,7,18,0,0,0.291
김혜성,Heroes,144,635,559,170,144,20,3,3,99,66,65,3,1,97,10,10,8,46,4,0.304
노시환,Eagles,107,458,380,103,66,18,1,18,56,84,73,9,1,107,4,4,15,5,2,0.271
안치홍,Giants,119,490,421,129,87,30,2,10,58,82,52,2,3,59,9,14,10,3,6,0.306
한동희,Giants,129,496,424,113,72,24,0,17,54,69,61,1,6,95,4,5,21,0,1,0.267
김선빈,Tigers,130,564,501,154,117,32,0,5,55,67,56,2,1,39,5,6,19,0,0,0.307
나성범,Dinos,144,623,570,160,97,29,1,33,96,101,38,2,11,155,4,4,5,1,2,0.281
박성한,Landers,135,471,407,123,97,21,1,4,53,44,49,0,1,73,2,14,1,12,5,0.302
피렐라,Lions,140,621,553,158,102,25,2,29,102,97,57,2,8,89,3,3,8,9,6,0.286
박해민,Lions,127,542,454,132,104,22,1,5,78,54,69,2,3,82,7,16,3,36,15,0.291
손아섭,Giants,139,610,542,173,139,29,2,3,88,58,61,3,3,67,1,4,15,11,6,0.319
페르난데스,Bears,141,617,540,170,131,24,0,15,73,81,65,3,6,35,6,6,25,0,2,0.315
정훈,Giants,135,561,486,142,100,27,1,14,70,79,68,8,3,89,3,4,6,8,1,0.292
박동원,Heroes,131,481,413,103,60,21,0,22,61,83,53,0,7,114,3,8,12,2,0,0.249
이용규,Heroes,133,547,459,136,111,16,8,1,88,43,71,2,5,47,6,12,5,17,2,0.296
노진혁,Dinos,107,384,330,95,65,22,0,8,41,58,42,0,5,90,3,7,3,1,1,0.288
김현수,Twins,140,595,506,144,103,23,1,17,70,96,77,5,3,42,9,9,7,3,0,0.285
오재일,Lions,120,484,418,119,74,20,0,25,64,97,58,8,0,106,8,8,5,1,0,0.285
하주석,Eagles,138,594,525,143,103,27,3,10,84,68,51,1,10,135,3,8,9,23,6,0.272
