BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
115,강도훈,Lions,외야수,2003-03-07,180,77,욱수초(경산시리틀)-협성경복중-대구상원고
47,강민호,Lions,포수,1985-08-18,185,100,제주신광초-포철중-포철공고-(국제디지털대)-롯데
6,강한울,Lions,내야수,1991-09-12,181,66,사당초-중앙중-안산공고-원광대-KIA-삼성-상무
56,공민규,Lions,내야수,1999-09-27,183,85,서화초-동산중-인천고-삼성-상무
5,구자욱,Lions,외야수,1993-02-12,189,75,본리초-경복중-대구고-삼성-상무
19,구준범,Lions,투수,1995-03-18,175,68,서울학동초-대치중-배명고
55,권정웅,Lions,포수,1992-11-15,180,88,서울이수초-영동중-덕수고-한양대-삼성-상무
17,김대우,Lions,투수,1988-11-21,183,85,역삼초-대치중-서울고-홍익대-히어로즈-상무-히어로즈
27,김동엽,Lions,외야수,1990-07-24,186,101,천안남산초-천안북중-북일고-SK
103,김동진,Lions,내야수,1996-12-18,184,84,영랑초-설악중-설악고
12,김민수,Lions,포수,1991-03-02,177,80,대구옥산초-경복중-대구상원고-영남대-한화-삼성-상무
102,김상민,Lions,외야수,2003-12-06,183,83,부산대연초-부산중-부산고
7,김상수,Lions,내야수,1990-03-23,175,68,대구옥산초-경복중-경북고
60,김서준,Lions,투수,2003-09-01,183,78,희망대초-대원중-경기항공고
114,김선우,Lions,내야수,1995-05-11,174,80,부산대연초-부산중-부산고-경성대
39,김성윤,Lions,외야수,1999-02-02,163,62,창신초(부산진구리틀)-원동중-포항제철고
9,김성표,Lions,외야수,1994-03-17,179,65,포이초(서초구리틀)-대치중-휘문고
109,김세민,Lions,포수,2002-03-24,180,94,광주서석초-창원신월중-청담고
38,김승현,Lions,투수,1992-07-09,180,105,노암초-경포중-강릉고-건국대-삼성-상무
30,김영웅,Lions,내야수,2003-08-24,183,81,공주중동초-야로중-물금고
25,김윤수,Lions,투수,1999-12-08,183,94,온양온천초-온양중-북일고
