BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
100,강정현,Twins,투수,1995-09-23,180,90,남부민초-대신중-부경고-원광대-LG-상무
43,강효종,Twins,투수,2002-10-14,184,86,저동초(일산서구리틀)-충암중-충암고
19,고우석,Twins,투수,1998-08-06,182,90,갈산초-양천중-충암고
4,구본혁,Twins,내야수,1997-01-11,177,75,중대초-잠신중-장충고-동국대
122,김기연,Twins,포수,1997-09-07,178,95,광주수창초-진흥중-진흥고
69,김대유,Twins,투수,1991-05-08,187,92,부산중앙초-부산중-부산고-히어로즈-SK-KT
109,김대현,Twins,투수,2001-01-05,188,96,서화초-석남중-성지고
16,김민성,Twins,내야수,1988-12-17,181,94,고명초-잠신중-덕수정보고-(영남사이버대)-롯데-히어로즈-키움
105,김성우,Twins,포수,2003-11-15,180,85,성동초-건대부중-배재고
102,김성협,Twins,내야수,1999-01-29,187,88,백마초-홍은중-성남고
101,김영준,Twins,투수,1999-01-12,185,89,인천연학초-선린중-선린인터넷고
106,김유민,Twins,내야수,2003-01-18,183,80,화곡초-영남중-덕수고
57,김윤식,Twins,투수,2000-04-03,181,83,광주서석초-무등중-진흥고
115,김의준,Twins,투수,1999-10-16,183,80,학강초-광주동성중-광주동성고
5,김주성,Twins,내야수,1998-01-30,180,81,수원신곡초-덕수중-휘문고
40,김주완,Twins,투수,2003-08-27,189,96,감천초-대동중-경남고
104,김지용,Twins,투수,2002-10-07,180,75,구리초(구리리틀)-구리인창중-라온고
42,김진성,Twins,투수,1985-03-07,186,92,인헌초-성남중-성남서고-SK-NC
110,김태형,Twins,투수,1998-09-17,190,98,솔빛초(수지리틀)-대치중-선린인터넷고
22,김현수,Twins,외야수,1988-01-12,188,100,쌍문초-신일중-신일고-두산-볼티모어-필라델피아
-1,김형욱,Twins,내야수,2002-01-29,187,90,동일중앙초-부산중-부산고
34,김호은,Twins,내야수,1992-01-03,181,87,대구옥산초-경상중-대구고-연세대
12,루이즈,Twins,내야수,1994-05-22,188,95,미국_Bishop_Amat_Memorial(고)
28,류원석,Twins,투수,1989-11-18,188,90,신원초-양천중-서울고-인하대
35,문보경,Twins,내야수,2000-07-19,182,89,송중초(동대문구리틀)-덕수중-신일고
8,문성주,Twins,외야수,1997-02-20,175,78,포항서초-포항제철중-경북고-강릉영동대
121,문정빈,Twins,내야수,2003-08-15,186,90,가동초-잠신중-서울고
24,박재욱,Twins,포수,1995-12-06,180,78,부산수영초-부산중-개성고-LG-경찰
17,박해민,Twins,외야수,1990-02-24,180,75,영중초-양천중-신일고-한양대-삼성
44,배재준,Twins,투수,1994-11-24,188,80,본리초-경상중-대구상원고
61,백승현,Twins,투수,1995-05-26,183,78,소래초-상인천중-인천고
14,서건창,Twins,내야수,1989-08-22,176,84,송정동초-충장중-광주제일고-LG-히어로즈-키움
107,성동현,Twins,투수,1999-05-18,189,108,백마초-홍은중-장충고
29,손주영,Twins,투수,1998-12-02,191,95,울산대현초-개성중-경남고
