Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
강정호,Heroes,26,126,450,532,131,87,21,1,22,67,96,68,3,109,6,6,2,18,15,8,0.29111111
박병호,Heroes,26,128,450,556,143,89,17,0,37,91,117,92,4,96,8,6,0,7,10,2,0.31777778
김현수,Bears,25,122,434,510,131,91,23,1,16,63,90,62,10,71,2,12,0,6,2,4,0.30184332
황재균,Giants,25,128,489,559,134,95,29,3,7,70,56,49,3,78,10,4,7,14,22,11,0.27402863
최희섭,Tigers,34,78,252,305,65,36,17,1,11,29,42,44,2,72,7,2,0,5,1,1,0.25793651
이태원,Dinos,27,70,82,97,12,10,2,0,0,5,4,8,0,26,3,0,4,3,0,0,0.14634146
송주호,Eagles,24,28,31,34,4,4,0,0,0,5,0,2,0,8,0,0,1,0,0,2,0.12903226
정훈,Giants,25,113,341,398,88,65,15,3,5,50,37,30,0,54,8,5,14,8,7,3,0.25806452
이상호,Dinos,24,103,125,139,31,23,7,1,0,26,13,10,0,21,0,0,4,4,25,4,0.248
홍재호,Tigers,26,85,124,141,24,20,2,0,2,15,12,13,0,17,1,0,3,6,1,2,0.19354839
이종환,Tigers,27,42,123,135,35,25,9,0,1,6,12,12,0,30,0,0,0,1,1,0,0.28455285
이준호,Tigers,25,55,60,66,12,10,2,0,0,4,4,3,0,16,1,1,1,1,0,0,0.2
이상훈,Lions,26,15,28,35,10,7,1,0,2,7,2,3,0,6,3,0,1,1,0,0,0.35714286
최윤석,Wyverns,26,45,67,85,13,9,4,0,0,10,4,13,0,22,2,0,3,3,0,2,0.19402985
조성우,Wyverns,25,54,98,111,20,16,0,0,4,17,11,10,0,23,0,1,2,0,6,1,0.20408163
정병곤,Lions,25,54,61,71,13,12,1,0,0,12,5,3,0,15,1,1,5,2,0,0,0.21311475
이천웅,Twins,24,8,10,11,1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0.1
김동한,Bears,25,26,20,22,7,3,2,1,1,9,4,2,0,2,0,0,0,0,5,0,0.35
문우람,Heroes,21,69,256,291,78,55,19,0,4,41,28,25,0,43,4,2,4,1,2,2,0.3046875
김사훈,Giants,26,17,29,35,3,2,1,0,0,2,1,4,0,8,1,0,1,1,0,0,0.10344828
유재혁,Tigers,21,22,11,15,1,1,0,0,0,3,1,3,0,5,0,1,0,0,1,0,0.09090909
조윤준,Twins,23,19,30,32,6,5,0,1,0,3,5,0,0,9,1,0,1,1,0,0,0.2
박세혁,Bears,23,18,26,31,6,3,3,0,0,4,2,3,0,6,1,0,1,0,0,0,0.23076923
지재옥,Heroes,24,18,10,12,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0
성의준,Lions,23,16,15,16,4,2,2,0,0,3,4,1,0,6,0,0,0,0,0,1,0.26666667
김상호,Giants,24,25,44,50,9,6,3,0,0,5,3,5,0,11,0,1,0,1,0,0,0.20454545
황정립,Tigers,23,21,45,57,11,8,2,0,1,8,8,10,0,13,2,0,0,2,0,0,0.24444444
윤해진,Tigers,24,47,54,59,8,7,1,0,0,11,4,2,0,15,1,0,2,1,3,2,0.14814815
하주석,Eagles,19,5,11,11,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0.09090909
엄태용,Eagles,19,39,64,66,15,11,4,0,0,2,5,2,0,19,0,0,0,1,1,0,0.234375
박승욱,Wyverns,20,15,25,28,5,5,0,0,0,6,1,3,0,9,0,0,0,0,1,0,0.2
한유섬,Wyverns,23,99,285,327,75,44,15,2,14,36,52,20,0,82,16,3,3,6,2,3,0.26315789
박민우,Dinos,20,32,41,47,11,10,1,0,0,10,6,5,0,6,0,1,0,3,9,2,0.26829268
김태우,Dinos,23,7,13,14,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0
노진혁,Dinos,23,117,327,361,73,49,19,2,3,32,27,26,1,83,1,1,5,5,1,3,0.22324159
나성범,Dinos,23,104,404,458,98,61,18,5,14,55,64,33,3,95,15,6,0,7,12,2,0.24257426
마낙길,Dinos,24,24,29,31,9,8,1,0,0,5,0,1,0,5,0,0,1,0,2,2,0.31034483
정현,Lions,19,8,21,22,4,2,1,0,1,3,2,0,0,5,0,0,1,1,0,0,0.19047619
백동훈,Giants,22,30,18,18,2,2,0,0,0,7,0,0,0,8,0,0,0,0,4,2,0.11111111
조홍석,Giants,23,30,64,79,16,9,6,1,0,5,4,8,0,24,4,0,3,0,2,3,0.25
이동훈,Tigers,24,13,24,30,4,4,0,0,0,3,2,5,0,7,0,0,1,0,0,0,0.16666667
이홍구,Tigers,22,51,89,96,14,10,1,1,2,6,9,5,0,44,1,0,1,1,0,0,0.15730337
고장혁,Tigers,23,29,11,11,1,1,0,0,0,7,0,0,0,6,0,0,0,0,2,1,0.09090909
장운호,Eagles,19,11,20,21,6,3,3,0,0,1,4,1,0,6,0,0,0,1,0,1,0.3
한승택,Eagles,19,24,33,38,1,1,0,0,0,2,2,3,0,12,1,0,1,0,0,0,0.03030303
조정원,Eagles,22,43,47,57,9,9,0,0,0,5,2,8,0,14,0,0,2,1,4,1,0.19148936
최재원,Dinos,22,52,45,56,6,4,2,0,0,4,3,10,0,18,0,0,1,1,2,1,0.13333333
권희동,Dinos,22,121,349,397,71,36,19,1,15,42,54,36,0,75,2,3,7,6,4,1,0.2034384
박으뜸,Dinos,23,40,27,31,5,4,1,0,0,6,2,3,1,8,1,0,0,0,1,0,0.18518519
최승환,Eagles,35,10,14,16,1,1,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0.07142857
강봉규,Lions,35,32,82,99,17,12,5,0,0,11,5,14,0,19,1,1,1,5,3,0,0.20731707
오윤,Heroes,31,67,117,143,34,29,5,0,0,14,17,20,0,29,3,2,1,3,0,0,0.29059829
김주찬,Tigers,32,47,168,195,51,38,9,4,0,24,28,15,1,18,4,1,7,4,23,3,0.30357143
김상훈,Tigers,35,49,87,108,20,16,4,0,0,7,8,13,0,17,1,2,5,3,0,0,0.22988506
