Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
살라디노,Lions,30,44,132,163,37,23,8,0,6,26,27,23,0,41,7,1,0,3,6,1,0.28030303
호잉,Eagles,31,34,124,134,24,16,4,0,4,12,14,9,0,34,1,0,0,4,5,3,0.19354839
알테어,Dinos,29,136,482,546,134,76,20,7,31,90,108,46,3,149,12,6,0,11,22,3,0.2780083
마차도,Giants,28,144,486,560,136,92,31,1,12,79,67,54,2,60,8,8,4,20,15,1,0.27983539
터커,Tigers,29,142,542,631,166,94,40,0,32,100,113,76,3,67,9,4,0,12,0,2,0.30627306
러셀,Heroes,26,130,488,542,124,92,28,0,4,44,62,44,2,74,4,6,0,10,4,0,0.25409836
화이트,Wyverns,29,18,44,60,6,2,2,0,2,6,8,12,0,2,4,0,0,0,0,0,0.13636364
박병호,Heroes,33,93,309,383,69,41,7,0,21,56,66,57,2,114,9,8,0,8,0,0,0.22330097
김현수,Twins,32,142,547,619,181,122,35,2,22,98,119,63,7,53,2,7,0,9,0,2,0.3308958
이대호,Giants,38,144,542,611,158,111,27,0,20,67,110,53,9,68,5,11,0,20,1,0,0.29151292
페르난데스,Bears,32,144,586,668,199,149,29,0,21,104,105,58,1,42,13,11,0,25,0,1,0.33959044
황재균,Wiz,32,134,541,600,169,108,35,5,21,108,97,47,0,98,5,4,3,12,11,6,0.31238447
김하성,Heroes,24,138,533,622,163,108,24,1,30,111,109,75,3,68,8,3,3,12,21,2,0.30581614
로맥,Wyverns,34,139,485,586,137,73,32,0,32,85,91,91,5,116,6,4,0,5,4,2,0.28247423
반즈,Eagles,34,148,566,638,150,96,34,2,18,76,84,54,2,162,14,4,0,8,4,2,0.26501767
김응민,Lions,28,45,76,85,17,16,1,0,0,7,5,5,0,22,1,0,3,1,0,0,0.22368421
이해창,Eagles,33,70,119,135,32,24,5,0,3,11,17,9,0,23,4,2,1,6,0,2,0.26890756
정훈,Giants,32,111,410,476,121,90,19,1,11,72,58,56,0,85,4,4,2,8,11,1,0.29512195
오태곤,Wiz,28,94,234,258,64,46,12,1,5,36,35,13,0,47,7,0,4,6,15,6,0.27350427
