Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
조진호,Lions,32,1,3,7.448275862068965,11,5,0,0,0,0,0,29,135,40,24,24,3,10,0,1,0,0,11,1002203
레스,Bears,35,3,2,2.8421022388775743,6,6,0,0,0,0,0,31.2,138,36,13,10,2,13,0,3,0,0,21,1010708
얀,Wyverns,33,1,2,2.1477297399190602,17,2,0,0,6,2,0,29.1,118,24,7,7,1,8,0,0,2,1,17,1236
류현진,Eagles,21,14,7,3.313876483089075,26,26,2,1,0,0,0,165.2,684,144,66,61,12,67,2,1,5,0,143,14444
윤석민,Tigers,21,14,5,2.3275810784987003,24,23,1,0,0,0,1,154.2,612,121,45,40,10,42,0,4,2,0,119,15777
오버뮬러,Lions,31,6,8,5.817073170731708,17,17,0,0,0,0,0,82,364,92,54,53,10,29,0,6,5,0,49,1637
코르테스,Giants,34,2,1,2.842097702469162,13,0,0,0,8,2,0,12.2,51,14,4,4,1,3,0,0,1,0,10,1798
오승환,Lions,25,1,1,1.4046235031483474,57,0,0,0,39,3,0,57.2,219,34,9,9,2,15,2,1,2,0,51,18719
다카쓰,Heroes,39,1,0,0.8571428571428571,18,0,0,0,8,0,0,21,85,16,2,2,1,5,0,4,0,0,18,1896
디아즈,Tigers,27,0,2,2.977943264697064,12,8,0,0,0,0,0,45.1,191,43,18,15,2,19,0,4,3,0,23,1932
김선우,Bears,30,6,7,4.2491664038286325,21,18,0,0,0,0,0,101.2,448,126,62,48,3,23,0,1,6,0,46,197
레이,Wyverns,33,1,2,6.639355265064835,5,4,0,0,0,0,0,20.1,98,26,15,15,1,15,0,0,2,0,11,1986
매클레리,Giants,33,5,5,4.603263604147686,19,17,1,0,0,0,0,101.2,450,115,55,52,5,52,1,4,5,0,43,2022
션,Lions,30,0,6,10.73076923076923,7,6,0,0,0,0,0,26,139,44,33,31,4,16,0,2,5,0,12,2040
레이어,Bears,30,0,6,5.6571428571428575,12,4,0,0,0,1,0,35,161,49,23,22,0,10,0,3,0,0,20,2163
김광현,Wyverns,19,16,4,2.388888888888889,27,27,1,1,0,0,0,162,659,127,50,43,9,63,1,2,3,0,150,27458
양현종,Tigers,20,0,5,5.82819109022921,48,9,0,0,0,0,5,75.2,340,77,49,49,4,48,0,1,3,0,56,27513
브라운,Twins,31,1,5,7.9266124398226605,8,8,0,0,0,0,0,36.1,178,57,34,32,4,13,0,5,1,0,15,371
리마,Tigers,35,3,6,4.885714285714286,14,13,0,0,0,0,1,70,308,72,47,38,5,31,1,4,2,0,28,475
옥스프링,Twins,31,10,10,3.9310344827586206,29,28,1,0,0,0,0,174,767,182,83,76,12,77,0,12,6,0,110,7232
토마스,Eagles,30,3,6,2.8421066897074496,59,0,0,0,31,4,0,63.1,257,52,21,20,3,23,4,4,5,0,63,757
봉중근,Twins,27,11,8,2.6565343754532096,28,28,0,0,0,0,0,186.1,767,153,66,55,13,68,0,12,6,0,140,82
에니스,Lions,28,1,3,3.03370441937534,7,6,0,0,0,0,1,29.2,125,30,11,10,3,7,0,0,0,1,20,85
구대성,Eagles,38,2,3,3.4838736471619507,38,0,0,0,0,1,9,41.1,167,39,17,16,2,14,2,2,1,0,29,8619
데이비스,Tigers,33,2,5,3.9836065573770494,10,10,0,0,0,0,0,61,265,61,29,27,2,31,0,0,2,0,42,872
서재응,Tigers,31,5,5,4.084035446311125,16,14,0,0,0,0,0,79.1,346,90,37,36,7,25,0,4,1,0,45,895
경헌호,Twins,30,1,0,2.314284137804755,30,0,0,0,0,0,2,46.2,191,42,13,12,4,14,1,1,0,0,27,kr3012746
김광수,Twins,27,0,2,9.947381652310712,11,5,0,0,0,0,0,25.1,127,38,28,28,3,17,0,0,2,0,18,kr3012749
신철인,Heroes,31,0,0,3.6,13,0,0,0,0,2,2,10,45,9,4,4,2,5,0,1,0,0,8,kr3012755
마일영,Heroes,27,11,11,3.485549132947977,28,28,1,0,0,0,0,173,712,155,77,67,11,57,0,12,4,0,83,kr3012756
박승민,Heroes,31,0,3,3.621955684653754,34,0,0,0,2,2,7,27.1,114,20,11,11,2,10,2,3,0,0,17,kr3012758
이용훈,Giants,30,6,7,4.090909090909091,21,17,0,0,0,0,1,99,433,117,47,45,2,41,0,2,3,1,60,kr3012764
이승호,Wyverns,31,4,1,3.566040944190245,29,2,0,0,2,2,5,35.1,153,28,15,14,3,22,0,4,1,0,28,kr3012782
김태영,Bears,28,6,2,2.3976843864877297,44,4,0,0,0,0,0,86.1,332,65,23,23,5,11,0,4,2,0,82,kr3012795
김백만,Eagles,25,0,0,5.538461538461538,6,2,0,0,0,0,0,13,59,19,8,8,3,4,0,0,0,0,4,kr3012819
정대현,Wyverns,29,4,3,2.6703282710859955,49,0,0,0,20,7,0,60.2,250,51,18,18,4,22,5,3,1,0,50,kr3012828
채병용,Wyverns,26,10,2,2.6999932675413207,27,23,0,0,0,0,1,136.2,569,126,43,41,10,43,1,6,2,0,81,kr3012836
이재영,Twins,29,1,4,6.190247127754762,48,3,0,0,1,1,8,68.1,298,69,47,47,8,32,0,3,0,1,39,kr3012854
배힘찬,Heroes,24,0,0,7.147080073370311,5,0,0,0,0,0,0,11.1,55,16,11,9,2,4,0,2,2,0,5,kr3012863
권혁,Lions,24,6,0,1.3216774402448745,43,0,0,0,0,2,15,47.2,195,36,10,7,2,22,0,1,0,0,37,kr3012872
권오원,Lions,28,2,2,4.18310140092702,37,0,0,0,0,1,3,47.1,203,50,25,22,2,19,0,1,6,1,25,kr3012875
안지만,Lions,24,5,1,2.9712903475212986,51,1,0,0,0,1,9,69.2,296,67,25,23,5,28,1,2,1,0,64,kr3012879
문수호,Tigers,25,0,2,8.735320089674824,26,0,0,0,0,1,2,11.1,60,21,11,11,3,3,0,1,0,0,10,kr3012893
마정길,Eagles,29,2,1,2.913667945275856,64,0,0,0,2,1,7,92.2,374,63,31,30,7,31,4,10,3,1,67,kr3012899
윤길현,Wyverns,24,1,0,2.8993270033465115,55,0,0,0,2,1,14,49.2,205,37,17,16,1,23,0,2,4,0,49,kr3012909
정재복,Twins,27,4,10,3.89302132176959,55,0,0,0,13,6,10,71.2,303,71,31,31,2,28,1,1,3,0,44,kr3012915
전병두,Wyverns,23,2,4,4.636363636363637,10,9,0,0,0,0,0,33,148,27,21,17,4,25,0,1,7,1,29,kr3012921
노환수,Heroes,24,1,3,4.387494455880972,51,0,0,0,1,1,8,26.2,119,30,16,13,2,9,0,1,2,0,17,kr3012929
고우석,Tigers,23,0,0,5.491516014669749,13,0,0,0,0,0,0,19.2,85,14,12,12,1,8,0,8,1,0,10,kr3012947
임준혁,Tigers,23,5,5,4.5899975486768465,40,3,0,0,0,0,2,66.2,309,63,34,34,3,38,1,12,3,0,48,kr3012948
안영명,Eagles,23,7,1,5.306355456338201,46,2,0,0,2,3,5,57.2,265,56,35,34,11,40,4,4,0,2,39,kr3012957
윤규진,Eagles,23,5,2,3.7644250100190875,42,1,0,0,1,1,12,69.1,299,64,33,29,3,41,2,6,0,0,47,kr3012958
송은범,Wyverns,24,8,6,3.7674309146470844,27,21,0,0,0,0,0,114.2,491,129,56,48,6,34,0,3,2,0,77,kr3012960
이영욱,Wyverns,27,2,3,3.6,19,7,0,0,0,0,2,45,187,33,21,18,3,16,0,5,0,0,44,kr3012962
송현우,Twins,26,0,0,3.1153906717926025,15,0,0,0,0,0,0,17.1,72,15,6,6,1,5,0,1,2,0,11,kr3012972
심수창,Twins,27,6,5,5.155781661793436,16,14,0,0,0,0,0,66.1,315,97,42,38,4,22,0,4,5,1,20,kr3012973
윤성환,Lions,26,10,11,3.9236552002591445,35,24,0,0,0,0,2,135.1,580,132,66,59,8,45,0,7,3,0,102,kr3012993
조영민,Wyverns,27,3,0,3.7358490566037736,38,0,0,0,0,0,1,53,222,54,22,22,6,20,0,1,3,0,21,kr3013014
정우람,Wyverns,23,9,2,2.0858359536853395,85,0,0,0,5,1,25,77.2,314,49,24,18,4,32,1,6,1,0,64,kr3013029
김명제,Bears,21,7,3,3.810810810810811,22,17,0,0,0,0,1,111,468,100,52,47,13,33,2,6,1,1,59,kr3013040
금민철,Bears,21,2,0,2.275282117909055,44,1,0,0,0,0,3,59.1,247,54,20,15,1,29,0,4,6,0,49,kr3013041
조현근,Lions,22,1,1,3.374997485430922,43,0,0,0,0,0,1,42.2,178,36,16,16,3,23,1,2,1,0,19,kr3013045
곽동훈,Lions,26,0,0,4.909090909090909,7,0,0,0,0,0,0,11,46,9,6,6,1,6,0,0,0,0,3,kr3013055
조정훈,Giants,23,5,3,3.15,14,12,1,1,0,0,1,80,331,84,35,28,6,18,2,3,0,0,54,kr3013062
이범석,Tigers,22,7,10,3.0835568750333517,28,19,2,1,0,1,1,119.2,490,93,53,41,10,47,0,3,13,3,89,kr3013069
곽정철,Tigers,22,1,1,3.566040944190245,15,3,0,0,0,0,0,35.1,155,38,15,14,1,16,0,1,4,1,26,kr3013075
양훈,Eagles,22,3,7,7.714289918240094,16,11,0,0,0,0,0,65.1,303,81,57,56,7,32,0,2,3,0,30,kr3013081
김세현,Heroes,20,1,2,7.043478260869565,11,1,0,0,0,0,0,23,117,39,22,18,1,11,0,1,1,0,12,kr3013107
장원삼,Heroes,25,12,8,2.8506034149057093,27,27,2,2,0,0,0,167.1,674,145,54,53,9,57,1,2,3,1,126,kr3013108
조용훈,Heroes,20,1,6,3.5357142857142856,52,0,0,0,1,0,6,56,247,55,29,22,2,20,1,9,2,0,34,kr3013109
김상수,Lions,20,0,1,7.902419540208229,9,0,0,0,0,0,0,13.2,71,22,19,12,3,9,0,0,0,0,11,kr3013115
나승현,Giants,21,0,3,4.928571428571429,33,0,0,0,0,0,0,42,184,41,25,23,2,16,0,5,2,1,25,kr3013123
배장호,Giants,21,2,2,3.4054054054054053,31,0,0,0,0,1,5,37,170,44,17,14,0,17,3,4,1,0,18,kr3013125
손영민,Tigers,21,5,2,3.65625,50,0,0,0,1,2,5,64,282,65,27,26,2,22,2,7,0,0,56,kr3013132
진해수,Tigers,22,0,0,5.06248400737927,24,0,0,0,0,1,1,10.2,55,12,7,6,0,11,0,1,1,0,7,kr3013133
