Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
코리,Giants,37,4,3,4.230416828835328,25,8,0,0,3,4,1,72.1,300,83,41,34,8,10,1,4,2,0,48
류현진,Eagles,24,11,7,3.357142857142857,24,18,3,0,0,0,0,126,520,101,54,47,12,38,0,1,6,0,128
윤석민,Tigers,24,17,5,2.45455030828275,27,25,3,3,1,0,0,172.1,679,137,53,47,10,44,0,6,2,1,178
로페즈,Tigers,36,11,9,3.982637588708892,26,24,1,0,1,0,0,153.2,631,153,71,68,14,26,2,9,3,0,106
부첵,Giants,32,4,2,5.06250301748694,11,9,0,0,0,1,0,53.1,227,55,32,30,8,21,0,1,3,0,39
오승환,Lions,28,1,0,0.631578947368421,54,0,0,0,47,1,0,57,204,27,4,4,2,11,0,0,1,0,76
저마노,Lions,28,5,1,2.77941371371726,8,8,0,0,0,0,0,45.1,181,45,17,14,3,6,0,0,0,0,29
바티스타,Eagles,30,3,0,2.018689789558313,27,0,0,0,10,1,0,35.2,148,19,8,8,1,22,1,1,7,0,61
김선우,Bears,33,16,7,3.1252311289463908,28,27,2,1,1,0,0,175.2,732,188,68,61,12,35,1,6,4,0,89
페르난도,Bears,28,3,6,6.089364469848067,25,12,0,0,6,0,0,78.1,364,96,54,53,5,44,1,5,6,0,66
글로버,Wyverns,34,7,6,4.239669421487603,24,24,0,0,0,0,0,121,518,115,65,57,11,41,0,9,9,0,122
고든,Wyverns,32,6,4,3.806165609945607,14,13,0,0,0,0,0,75.2,315,68,34,32,3,20,0,4,1,0,70
김광현,Wyverns,22,4,6,4.84305164705706,17,14,1,0,0,0,0,74.1,328,70,45,40,6,45,0,2,3,0,61
양현종,Tigers,23,7,9,6.178702743914361,28,22,1,0,0,0,0,106.1,492,116,74,73,9,69,0,4,2,0,74
데폴라,Eagles,28,1,3,5.481206937809232,17,5,0,0,0,0,0,44.1,200,51,29,27,3,24,0,5,4,1,34
트레비스,Tigers,28,7,5,3.481569790375508,25,22,1,1,0,0,1,126.2,548,120,59,49,13,62,0,3,12,3,115
매티스,Lions,28,5,2,2.518136108631886,10,10,0,0,0,0,0,64.1,272,59,19,18,1,34,1,0,3,0,32
니퍼트,Bears,30,15,6,2.550802139037433,29,29,2,1,0,0,0,187,763,150,61,53,8,64,0,10,10,0,150
리즈,Twins,27,11,13,3.880558770756968,30,28,1,0,0,0,0,164.2,719,149,79,71,11,84,0,15,8,1,122
사도스키,Giants,28,11,8,3.912123514289601,25,25,0,0,0,0,0,140.1,587,130,64,61,15,52,1,6,11,0,79
