BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
1,강동연,Dinos,투수,1992-12-18,195,94,진북초-덕수중-유신고-두산-상무-두산
61,강태경,Dinos,투수,2001-07-26,188,95,양덕초-잠실중-배명고
59,구창모,Dinos,투수,1997-02-17,183,85,천안남산초-덕수중-울산공고
36,권희동,Dinos,외야수,1990-12-30,177,85,동천초-경주중-경주고-경남대-Dinos-상무
24,김건태,Dinos,투수,1991-10-02,185,85,광주수창초-무등중-진흥고-히어로즈-상무-히어로즈
8,김기환,Dinos,외야수,1995-08-25,182,74,관산초-대송중-소래고-삼성
95,김녹원,Dinos,투수,2003-05-17,182,88,학강초-무등중-광주제일고
3,김수윤,Dinos,내야수,1998-07-16,180,83,김해삼성초-개성중-부산고
21,김시훈,Dinos,투수,1999-02-24,188,95,양덕초-마산동중-마산고
17,김영규,Dinos,투수,2000-02-10,188,86,광주서석초-무등중-광주제일고
44,김응민,Dinos,포수,1991-10-22,178,90,서울이수초-건대부중-중앙고-두산-삼성-상무-삼성
65,김재균,Dinos,투수,1999-01-17,176,83,사당초-언북중-충암고-상무
56,김정호,Dinos,포수,1998-07-13,172,84,대구옥산초-경복중-포항제철고-성균관대
7,김주원,Dinos,내야수,2002-07-30,185,83,삼일초(군포시리틀)-안산중앙중-유신고
00,김준상,Dinos,내야수,2002-03-16,179,80,도신초-성남중-성남고
69,김진우,Dinos,투수,2002-10-28,176,77,진북초-전라중-군산상고
54,김진호,Dinos,투수,1998-06-07,183,90,의왕부곡초-성일중-광주동성고-NC-경찰
60,김태경,Dinos,투수,2001-04-07,188,95,김해삼성초-내동중-용마고
15,김태현,Dinos,투수,1998-03-21,188,95,김해삼성초-내동중-김해고-NC-경찰
68,김한별,Dinos,내야수,2001-01-18,177,85,효제초-선린중-배재고
43,노상혁,Dinos,투수,1997-09-21,190,94,사파초-창원신월중-용마고-동의대
63,노시훈,Dinos,투수,1998-08-04,188,95,부산수영초-마산중-용마고
52,노진혁,Dinos,유격수,1989-07-15,184,80,광주대성초-광주동성중-광주동성고-성균관대-NC-상무
10,도태훈,Dinos,내야수,1993-03-18,184,85,양정초-개성중-부산고-동의대-NC-상무
40,루친스키,Dinos,투수,1988-12-30,188,91,미국_Tulsa_Union(고)-미국_The_Ohio_State(대)
41,류진욱,Dinos,투수,1996-10-10,189,88,양정초-개성중-부산고
4,마티니,Dinos,외야수,1990-06-27,182,93,미국_Prairie_Ridge(고)-미국_Kansas_State(대)
37,박건우,Dinos,외야수,1990-09-08,184,80,역삼초-서울이수중-서울고-두산-경찰-두산
26,박대온,Dinos,포수,1995-08-28,182,85,서울도곡초-서울이수중-휘문고
94,박동수,Dinos,투수,1999-05-24,177,85,서울학동초-서울경원중-덕수고-고려대
2,박민우,Dinos,2루수,1993-02-06,185,80,마포초(용산구리틀)-선린중-휘문고
18,박석민,Dinos,3루수,1985-06-22,178,88,율하초-경복중-대구고-삼성-상무-삼성
80,박성재,Dinos,포수,2003-03-21,179,85,가고파초(창원리틀)-마산동중-용마고
13,박준영,Dinos,3루,1997-08-05,181,75,서울도곡초(남양주리틀)-잠신중-경기고
58,서의태,Dinos,투수,1997-09-05,194,115,묵동초(남양주리틀)-청량중-경기고-KT-넥센-키움
106,서준교,Dinos,내야수,2003-05-23,181,83,거제제산초(거제리틀)-외포중-김해고
5,서호철,Dinos,내야수,1996-10-16,179,85,순천남산초-순천이수중-효천고-동의대-NC-상무
31,손아섭,Dinos,외야수,1988-03-18,174,84,양정초-개성중-부산고-롯데
50,손정욱,Dinos,투수,1990-12-24,182,84,서울도곡초-홍은중-덕수고-경희대
11,송명기,Dinos,투수,2000-08-09,191,93,양남초(하남시리틀)-건대부중-장충고
53,신민혁,Dinos,투수,1999-02-04,184,95,염강초(강서리틀)-매향중-야탑고
20,심창민,Dinos,투수,1993-02-01,185,86,동삼초-경남중-경남고-삼성-상무-삼성
42,안인산,Dinos,투수,2001-02-27,181,95,군포오금초(안양시리틀)-평촌중-야탑고
25,양의지,Dinos,포수,1987-06-05,179,85,송정동초-무등중-진흥고-두산-경찰-두산
104,오승택,Dinos,외야수,1998-06-17,186,88,구미금오초(칠곡리틀)-포항제철중-대구상원고-동아대
34,오영수,Dinos,1루수,2000-01-30,178,93,사파초-신월중-용마고-NC-상무
30,오장한,Dinos,외야수,2002-05-20,185,90,희망대초-매향중-장안고
14,오태양,Dinos,내야수,2002-04-25,178,67,방배초-대치중-청원고
46,원종현,Dinos,투수,1987-07-31,182,83,군산중앙초-군산중-군산상고-LG-경찰-LG
27,윤형준,Dinos,1루수,1994-01-31,186,97,광주서림초-무등중-진흥고-NC-LG-경찰-LG
33,이명기,Dinos,외야수,1987-12-26,183,87,서화초-상인천중-인천고-SK-KIA
29,이민호,Dinos,투수,1993-08-11,185,90,부산수영초-부산중-부산고
48,이용준,Dinos,투수,2002-05-08,180,95,중대초-양천중-서울디자인고
22,이용찬,Dinos,투수,1989-01-02,185,85,신원초-양천중-장충고-두산-상무-두산
45,이우석,Dinos,투수,1996-04-16,185,80,군산남초-군산남중-군산상고-NC-상무
0,이인혁,Dinos,외야수,1999-01-03,183,89,불암초(노원구리틀)-상명중-덕수고-NC
28,이재용,Dinos,포수,1999-02-28,182,86,장자초(구리리틀)-자양중-배재고
51,이재학,Dinos,투수,1990-10-04,181,84,대구옥산초-경복중-대구고-두산
