BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
14,강상원,Eagles,외야수,1997-05-05,172,64,온양온천초-온양중-북일고
55,강재민,Eagles,투수,1997-04-03,180,86,양덕초-마산중-용마고-단국대
69,권광민,Eagles,외야수,1997-12-12,187,97,서울청구초-홍은중-장충고
103,김겸재,Eagles,투수,1998-12-10,185,89,부산남산초(마린스리틀)-대천중-부산정보고-단국대
60,김규연,Eagles,투수,2002-08-23,183,83,동수원초(수원영통구리틀)-매향중-공주고
15,김기중,Eagles,투수,2002-11-16,186,94,의왕부곡초-매송중-유신고
29,김기탁,Eagles,투수,1998-09-30,182,82,분성초(장유리틀)-내동중-김해고
2,김민기,Eagles,내야수,1999-06-12,172,74,영원초(영등포리틀)-선린중-덕수고
53,김민우,Eagles,투수,1995-07-25,189,105,사파초-마산중-용마고
47,김범수,Eagles,투수,1995-10-03,182,81,온양온천초-온양중-북일고
45,김이환,Eagles,투수,2000-09-15,183,87,길원초(동대문구리틀)-잠신중-신일고
37,김인환,Eagles,내야수,1994-01-28,186,88,화순초-화순중-화순고-성균관대
19,김재영,Eagles,투수,1993-07-22,187,84,방배초-영동중-서울고-홍익대
38,김종수,Eagles,투수,1994-06-03,180,80,성동초-덕수중-울산공고
06,김준석,Eagles,외야수,2001-03-26,177,86,갈산초-서울신월중-북일고-강릉영동대
25,김태연,Eagles,외야수,1997-06-10,178,99,서울청구초-덕수중-야탑고
6,김현민,Eagles,내야수,2000-02-23,183,82,양정초-개성중-경남고
11,남지민,Eagles,투수,2001-02-12,181,95,양정초-개성중-부산정보고
107,노석진,Eagles,내야수,2003-01-31,187,95,본리초-대구중-세광고
17,노수광,Eagles,외야수,1990-08-06,180,80,대전유천초-청주중-청주고-건국대-한화-KIA-SK
8,노시환,Eagles,내야수,2000-12-03,185,96,부산수영초-경남중-경남고
1,문동주,Eagles,투수,2003-12-23,188,98,광주화정초-무등중-진흥고
108,문승진,Eagles,투수,2002-04-02,185,91,서울청구초-홍은중-서울고
01,민승기,Eagles,투수,2001-07-06,181,92,서울신내초(중랑구리틀)-청량중-경동고-여주대
42,박상언,Eagles,포수,1997-03-03,185,75,무원초-영남중-유신고-한화-상무
51,박윤철,Eagles,투수,1996-03-23,186,85,방배초-언북중-서울고-연세대-한화-상무
9,박정현,Eagles,내야수,2001-07-27,183,85,부천북초-부천중-유신고
31,박준영,Eagles,투수,2003-03-02,190,98,충북우암초(청주시리틀)-세광중-세광고
44,백용환,Eagles,포수,1989-03-20,180,95,서울영중초-양천중-장충고-KIA-경찰-KIA
68,변우혁,Eagles,내야수,2000-03-18,185,95,일산초-현도중-북일고-한화-상무
56,송윤준,Eagles,투수,1992-07-16,186,78,천안남산초-공주중-북일고-LG-경찰-LG
4,송호정,Eagles,내야수,2002-03-10,185,78,수유초-자양중-서울고
39,신정락,Eagles,투수,1987-05-13,177,78,천안남산초-천안북중-북일고-고려대-LG
40,신지후,Eagles,투수,2001-06-12,198,105,대전유천초-충남중-북일고
106,신현수,Eagles,투수,2003-06-16,184,90,천안남산초(천안시리틀)-설악중-설악고
96,안창호,Eagles,외야수,1999-07-07,173,80,둔촌초-배재중-배재고-강릉영동대
102,양경모,Eagles,투수,2003-03-24,184,92,대전신흥초-외산중-북일고
95,원혁재,Eagles,외야수,1995-01-29,177,80,서울이수초(서초구리틀)-서울이수중-장충고-홍익대
33,유로결,Eagles,외야수,2000-05-30,186,86,광주서림초-광주동성중-광주제일고
65,유민,Eagles,외야수,2003-01-20,187,92,역삼초-대치중-배명고
05,유상빈,Eagles,외야수,2000-05-09,181,82,동막초-동산중-인천고-강릉영동대
5,윤대경,Eagles,투수,1994-04-09,179,75,인천서림초-동인천중-인천고-삼성
32,윤산흠,Eagles,투수,1999-05-15,177,68,광주화정초-진흥중-영선고
18,윤호솔,Eagles,투수,1994-07-15,183,99,온양온천초-온양중-북일고-NC
7,이도윤,Eagles,내야수,1996-10-07,173,71,고명초-배재중-북일고
34,이동훈,Eagles,외야수,1996-07-24,178,72,본리초-경운중-대구상원고
04,이상혁,Eagles,내야수,2001-09-14,172,64,수원영화초(군포리틀)-수원북중-장안고-강릉영동대
10,이성곤,Eagles,내야수,1992-03-25,186,93,성동초-잠실중-경기고-연세대-두산-경찰-두산-삼성
104,이성민,Eagles,투수,2002-09-28,191,92,남부민초-부산중-부경고
98,이성원,Eagles,포수,1999-11-02,185,114,수원신곡초-매향중-장안고
48,이승관,Eagles,투수,1999-12-01,182,95,도신초-개군중-야탑고-한화-상무
50,이원석,Eagles,외야수,1999-03-31,177,70,화곡초-충암중-충암고
105,이재민,Eagles,투수,1999-12-27,188,79,경기화수초(덕양구리틀)-양천중-상우고-호원대
97,이종완,Eagles,외야수,1998-02-24,170,70,청주석교초-청주중-청주고-단국대
94,이준기,Eagles,투수,2002-05-19,181,84,사당초-영남중-경기상고
49,이충호,Eagles,투수,1994-09-20,182,81,인헌초-선린중-충암고
27,이해창,Eagles,포수,1987-05-11,184,85,강남초-이수중-경기고-한양대-히어로즈-KT
24,임종찬,Eagles,외야수,2001-09-28,184,85,청주우암초-청주중-북일고
54,임준섭,Eagles,투수,1989-07-16,181,88,부산대연초-부산중-개성고-경성대-KIA
62,장규현,Eagles,포수,2002-06-28,183,96,인성초(미추홀구리틀)-동인천중-인천고
36,장민재,Eagles,투수,1990-03-19,184,98,광주화정초-무등중-광주제일고
28,장시환,Eagles,투수,1987-11-01,184,93,태안초-태안중-북일고-현대-히어로즈-상무-히어로즈-KT-롯데
30,장운호,Eagles,외야수,1994-02-20,183,85,중대초-배명중-배재고-한화-상무
63,장지승,Eagles,외야수,1998-07-04,185,90,고잔초(인천남동구리틀)-동방중-동산고-성균관대
02,전승우,Eagles,포수,1999-11-05,178,93,상인천초-동산중-신흥고-송원대
41,정민규,Eagles,내야수,2003-01-10,183,95,광일초(부산서구리틀)-경남중-부산고
57,정우람,Eagles,투수,1985-06-01,181,82,하단초-대동중-경남상고-SK
43,정은원,Eagles,내야수,2000-01-17,177,78,상인천초-상인천중-인천고
67,정이황,Eagles,투수,2000-03-07,190,86,부산수영초-경남중-부산고
46,조은,Eagles,투수,2001-04-01,186,80,대전신흥초(대전동구리틀)-한밭중-대전고
109,조현진,Eagles,내야수,2002-09-10,182,73,아라초(함안리틀)-창원신월중-마산고
66,주현상,Eagles,투수,1992-08-10,177,82,청주우암초-청주중-청주고-동아대
91,최이경,Eagles,투수,1996-03-12,175,91,역북초-수원북중-유신고-동국대
13,최재훈,Eagles,포수,1989-08-27,178,76,화곡초-덕수중-덕수고-(방송통신대)-두산-경찰-두산
03,최현준,Eagles,내야수,1999-09-22,183,73,청주석교초-청주중-경북고-고려대
22,카펜터,Eagles,투수,1990-08-22,196,104,미국_Gonzaga(대)
20,킹험,Eagles,투수,1991-11-08,196,106,미국_Sierra_Vista(고)-SK
12,터크먼,Eagles,외야수,1990-12-03,188,95,미국_William_Fremd(고)-미국_Bradley(대)
16,하주석,Eagles,내야수,1994-02-25,184,84,강남초-덕수중-신일고-한화-상무
59,한승주,Eagles,투수,2001-03-17,184,82,부산수영초-대천중-부산고
26,허관회,Eagles,포수,1999-02-12,176,83,경동초(의정부리틀)-건대부중-경기고
64,허인서,Eagles,포수,2003-07-11,182,93,순천북초-여수중-효천고
58,황영국,Eagles,투수,1995-12-26,185,83,청주우암초-청주중-청주고-한화-경찰
