BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
54,강로한,Giants,외야수,1992-05-13,182,79,울산삼신초-경남중-부경고-경남대
79,강민성,Giants,투수,2000-01-12,192,103,도신초-홍은중-성남고
17,강윤구,Giants,투수,1990-07-10,183,89,서울이수초-서울경원중-장충고-히어로즈-상무-히어로즈-NC
32,강태율,Giants,포수,1996-11-01,179,91,부산수영초-대천중-부경고
62,경우진,Giants,투수,2000-01-30,183,97,성동초-건대부중-장충고-단국대
6,고승민,Giants,외야수,2000-08-11,189,92,군산신풍초-배명중-북일고
22,구승민,Giants,투수,1990-06-12,182,86,동일초(도봉구리틀)-청원중-청원고-홍익대-롯데-상무
24,김강현,Giants,투수,1995-02-27,177,84,고명초-청원중-청원고
41,김대우,Giants,투수,1984-07-26,190,104,광주대성초-무등중-광주제일고-상무
23,김도규,Giants,투수,1998-07-11,192,118,고봉초-충암중-안산공고
18,김동우,Giants,투수,1995-10-01,183,80,서당초-매송중-야탑고-연세대
76,김동욱,Giants,내야수,1999-03-08,176,81,삼송초-덕수중-덕수고-단국대
-1,김동혁,Giants,외야수,2000-09-15,177,77,서화초-상인천중-제물포고-강릉영동대
63,김민수,Giants,외야수,1996-06-11,180,96,신등초-신월중-마산고-경성대
5,김민수,Giants,내야수,1998-03-18,184,97,서화초-동산중-제물포고-롯데-경찰
64,김서진,Giants,내야수,2004-02-05,175,80,(분당구리틀)
14,김세민,Giants,내야수,2003-06-14,183,78,강릉중앙초-하슬라중-강릉고
69,김승준,Giants,투수,1995-09-10,181,84,역삼초-매송중-야탑고-연세대
66,김용완,Giants,내야수,2003-05-02,176,73,평촌초-평촌중-안산공고
34,김원중,Giants,투수,1993-06-14,192,96,학강초-광주동성중-광주동성고
0,김유영,Giants,투수,1994-05-02,180,83,양정초-개성중-경남고-롯데-상무
12,김재유,Giants,외야수,1992-08-07,180,82,장산초-경남중-부경고-동의대-롯데-상무
50,김주현,Giants,내야수,1993-12-21,186,110,성동초-잠신중-북일고-경희대-한화-경찰-한화
15,김진욱,Giants,투수,2002-07-05,185,90,수원신곡초-춘천중-강릉고
44,김창훈,Giants,투수,2001-11-09,185,98,사파초-창원신월중-경남고
43,나균안,Giants,투수,1998-03-16,186,109,무학초-창원신월중-용마고
31,나승엽,Giants,내야수,2002-02-15,190,82,남정초-선린중-덕수고
52,나원탁,Giants,투수,1994-08-20,183,100,석교초-세광중-세광고-홍익대-삼성
27,문경찬,Giants,투수,1992-07-08,186,85,부천북초-동인천중-인천고-건국대-KIA-상무-KIA-NC
