BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
46,강민국,Heroes,내야수,1992-01-10,176,78,송정동초-충장중-광주제일고-동국대-NC-상무-NC-KT
65,김동욱,Heroes,투수,1997-05-16,178,82,(용산구리틀)-서울경원중-휘문고-홍익대
38,김동은,Heroes,투수,2000-10-16,186,90,광주수창초-충장중-광주동성고
60,김동혁,Heroes,투수,2001-12-27,185,82,(강남구리틀)-영동중-덕수고
98,김리안,Heroes,포수,2003-11-25,183,87,가동초-휘문중-휘문고
03,김민수,Heroes,내야수,1998-12-18,177,80,문래초(용산구리틀)-서울경원중-군산상고-연세대
49,김선기,Heroes,투수,1991-09-01,186,96,석교초-세광중-세광고-상무-히어로즈
00,김성민,Heroes,투수,1994-04-26,181,90,대구옥산초-경복중-대구상원고-일본경제대-SK-히어로즈
34,김성진,Heroes,투수,1997-11-14,183,80,율하초-포항제철중-부산정보고-계명대
31,김수환,Heroes,내야수,1998-03-20,180,91,부일초(부평구리틀)-재능중-제물포고-히어로즈
26,김시앙,Heroes,포수,2001-10-31,177,79,광주대성초-광주동성중-광주동성고
1,김웅빈,Heroes,내야수,1996-02-09,182,92,서라벌초-울산제일중-울산공고-히어로즈-상무
67,김인범,Heroes,투수,2000-01-12,187,91,하남동부초(하남시리틀)-전라중-전주고
28,김재웅,Heroes,투수,1998-10-22,174,83,금교초(남양주리틀)-자양중-덕수고
32,김재현,Heroes,포수,1993-03-18,178,90,진북초-전라중-대전고-히어로즈-상무
55,김정인,Heroes,투수,1996-06-03,184,80,광주화정초-무등중-화순고-히어로즈-상무
6,김주형,Heroes,내야수,1996-03-05,176,80,양정초-경남중-경남고-홍익대
14,김준완,Heroes,외야수,1991-01-20,174,74,길동초-건대부중-장충고-고려대-NC-상무-NC
93,김준형,Heroes,투수,2002-07-12,182,84,서울이수초-성남중-성남고
17,김태훈,Heroes,투수,1992-03-02,187,97,남부민초-대신중-부경고-히어로즈-경찰-히어로즈
12,김현우,Heroes,외야수,2001-07-02,176,80,Campsie_Public(초)-신정중-개성고
3,김혜성,Heroes,내야수,1999-01-27,180,80,문촌초(고양시리틀)-동산중-동산고-히어로즈
33,김휘집,Heroes,내야수,2002-01-01,181,87,양목초(히어로즈리틀)-대치중-신일고
94,노운현,Heroes,투수,2003-06-22,186,80,(부산북구리틀)-센텀중-경남고
06,류하성,Heroes,내야수,1997-07-22,176,70,광주수창초-충장중-광주제일고-경희대
21,문성현,Heroes,투수,1991-11-09,180,87,남정초-선린중-충암고-히어로즈-상무-히어로즈
44,박관진,Heroes,투수,1997-03-26,186,80,소양초-춘천중-강릉고-인하대
27,박동원,Heroes,포수,1990-04-07,178,92,양정초-개성중-개성고-히어로즈-상무-히어로즈
05,박수종,Heroes,외야수,1999-02-25,179,82,도신초-강남중-충암고-경성대
42,박승주,Heroes,투수,1994-02-12,181,92,화계초-언북중-경기고-동국대-히어로즈
02,박정훈,Heroes,포수,2003-10-14,182,85,(영도구리틀)-대신중-개성고
0,박주성,Heroes,투수,2000-11-09,181,95,경동초(성동구리틀)-건대부중-경기고
45,박주현,Heroes,투수,1996-06-19,184,108,강남초-덕수중-장충고-히어로즈
57,박주홍,Heroes,외야수,2001-04-16,187,90,(하남시리틀)-건대부중-장충고
23,박준태,Heroes,외야수,1991-07-26,182,80,부산대연초-부산중-개성고-인하대-KIA-경찰-KIA
48,박찬혁,Heroes,외야수,2003-04-25,180,84,대전유천초(대전서구리틀)-한밭중-북일고
92,백진수,Heroes,투수,2003-02-15,191,96,광주대성초-무등중-광주제일고
2,변상권,Heroes,외야수,1997-04-04,180,80,인천서림초-상인천중-제물포고-인천재능대
24,송성문,Heroes,내야수,1996-08-29,183,86,봉천초(용산구리틀)-홍은중-장충고-히어로즈-키움-상무
91,송정인,Heroes,투수,2003-05-05,187,83,화곡초-선린중-야탑고
5,신준우,Heroes,내야수,2001-06-21,176,83,대구수창초-경운중-대구고
41,안우진,Heroes,투수,1999-08-30,192,92,강남초-서울이수중-휘문고-히어로즈
8,애플러,Heroes,투수,1993-01-05,196,104,미국_Sam_Houston_State(대)
36,양경식,Heroes,내야수,2001-02-03,171,70,(인천남동구리틀)-동산중-제물포고
61,양기현,Heroes,투수,1998-12-16,184,97,서울청구초-홍은중-장충고
39,양현,Heroes,투수,1992-08-23,189,98,영랑초-한밭중-대전고-두산-히어로즈-상무-히어로즈
53,예진원,Heroes,외야수,1999-03-16,174,82,양정초-부산중-경남고-히어로즈-키움-상무
04,오성민,Heroes,내야수,1999-04-08,175,73,감천초-사직중-부산정보고-한일장신대
40,오윤성,Heroes,투수,1998-12-10,183,80,인천서림초-신흥중-인천고-히어로즈
