BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
95,강매성,Landers,투수,2003-06-08,187,94,상탄초(일산동구리틀)-개군중-공주고
6,고명준,Landers,내야수,2002-07-08,185,94,서원초-세광중-세광고-SK
65,고효준,Landers,투수,1983-02-08,179,81,서원초-세광중-세광고-롯데-SK-KIA-롯데-LG
0,김강민,Landers,외야수,1982-09-13,182,87,본리초-대구중-경북고-SK
59,김건우,Landers,투수,2002-07-12,185,88,가현초(인천서구리틀)-동산중-제물포고-SK
05,김교람,Landers,3루수,2000-03-29,185,92,고봉초(인천서구리틀)-고양신일중-제물포고
28,김규남,Landers,외야수,1995-05-12,183,97,신남성초(용산구리틀)-홍은중-덕수고-고려대-상무
44,김도현,Landers,투수,2003-05-24,179,89,삼송초-연세중-백송고
49,김민재,Landers,외야수,1996-04-04,191,95,연현초-양천중-안산공고-SK
24,김상수,Landers,투수,1988-01-02,180,88,신자초(자이언츠리틀)-자양중-신일고-(방송통신대)-삼성-상무-키움
116,김성민,Landers,내야수,2001-04-30,184,88,서울학동초-자양중-경기고-SK
16,김성현,Landers,내야수,1987-03-09,172,72,송정동초-충장중-광주제일고-SK-상무-SK
5,김재현,Landers,내야수,1991-08-30,176,73,홍파초(도봉구리틀)-건대부중-배명고-한양대-삼성-경찰-삼성
21,김정빈,Landers,투수,1994-06-08,182,90,광주화정초-무등중-화순고-SK-상무-SK
12,김정우,Landers,투수,1999-05-15,183,87,소래초-동산중-동산고-SK-상무
11,김주온,Landers,투수,1996-12-08,187,89,대현초-구미중-울산공고-SK
00,김태윤,Landers,내야수,2003-02-28,170,60,창우초(하남시리틀)-배명중-배명고
51,김태훈,Landers,투수,1990-05-19,176,88,동구초(구리리틀)-구리인창중-구리인창고-SK-상무-SK
43,김택형,Landers,투수,1996-10-10,185,90,창영초-재능중-동산고-히어로즈-SK
38,노경은,Landers,투수,1984-03-11,187,100,화곡초-성남중-성남고-두산-롯데
33,노바,Landers,투수,1987-01-12,193,102,도미니카_Lic.Vespertino_Lucila_Mojica(고)
42,문승원,Landers,투수,1989-11-28,180,88,가동초-배명중-배명고-고려대-SK-상무-SK
41,박민호,Landers,투수,1992-02-25,185,95,동막초-동인천중-인천고-인하대-SK-상무-SK
64,박상후,Landers,투수,2003-08-05,187,87,칠성초(수성리틀)-대구중-경북고
