BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
14,강경학,Tigers,2루수,1992-08-11,180,72,광주대성초-광주동성중-광주동성고-한화
59,강병우,Tigers,투수,2003-12-12,182,88,군산중앙초-배명중-배명고
36,강이준,Tigers,투수,1998-04-07,190,86,발산초-덕수중-구리인창고-KIA-상무
60,고영창,Tigers,투수,1989-02-24,189,100,광주서림초-진흥중-진흥고-연세대
57,고종욱,Tigers,외야수,1989-01-11,184,83,역삼초-대치중-경기고-한양대-히어로즈-상무-히어로즈-SK-SSG
44,권혁경,Tigers,포수,2002-01-23,187,94,중대초-잠신중-신일고
13,김규성,Tigers,2루수,1997-03-08,183,73,갈산초-선린중-선린인터넷고
5,김도영,Tigers,3루수,2003-10-02,183,85,광주대성초-광주동성중-광주동성고
04,김민수,Tigers,외야수,2000-04-05,186,87,부산수영초-경남중-경남고
24,김민식,Tigers,포수,1989-06-28,180,80,양덕초-마산중-마산고-원광대-SK-상무-SK
35,김석환,Tigers,외야수,1999-02-28,187,97,광주서석초-광주동성중-광주동성고
3,김선빈,Tigers,유격수,1989-12-18,165,77,화순초-화순중-화순고-KIA-상무
02,김선우,Tigers,포수,2001-01-18,178,80,상인천초-상인천중-강릉고
013,김양수,Tigers,투수,2001-01-23,184,80,천안남산초-천안북중-북일고
49,김유신,Tigers,투수,1999-06-14,187,100,화순초-청주중-세광고-KIA-상무
32,김재열,Tigers,투수,1996-01-02,183,97,양정초-개성중-부산고
61,김찬민,Tigers,투수,2003-09-13,184,85,부안동초-이평중-전주고
06,김창용,Tigers,내야수,1996-07-09,180,80,칠성초-대구중-경북고-연세대
6,김태진,Tigers,1루수,1995-10-07,170,75,수유초-신일중-신일고-NC-경찰-NC
56,김현수,Tigers,투수,2000-07-10,185,90,효제초-홍은중-장충고-롯데
38,김현준,Tigers,투수,1997-06-05,182,78,광주화정초-무등중-광주제일고
27,김호령,Tigers,외야수,1992-04-30,178,85,관산초-안산중앙중-군산상고-동국대-KIA-경찰
47,나성범,Tigers,외야수,1989-10-03,183,100,광주대성초-진흥중-진흥고-연세대-NC
09,나용기,Tigers,투수,1998-11-18,195,105,광주서석초-충장중-북일고-동강대
29,나지완,Tigers,외야수,1985-05-19,182,105,수유초-신일중-신일고-단국대
41,남하준,Tigers,투수,1996-09-13,182,78,원봉초-세광중-세광고-KIA-상무
37,놀린,Tigers,투수,1989-12-26,193,113,미국_Seaford(고)-미국_San_Jacinto(대)
45,로니,Tigers,투수,1996-01-06,184,80,미국_American_Senior(고)
9,류승현,Tigers,외야수,1997-07-01,176,84,송정동초-무등중-광주제일고-KIA-상무
8,류지혁,Tigers,내야수,1994-01-13,181,75,청원초-선린중-충암고-두산-상무-두산
15,박건우,Tigers,투수,1998-06-03,193,97,다솜초-언북중-덕수고-고려대
42,박민,Tigers,유격수,2001-06-05,184,84,갈산초-성남중-야탑고
034,박상준,Tigers,외야수,2001-08-21,178,104,석교초-세광중-세광고-강릉영동대
05,박수용,Tigers,외야수,1999-08-11,190,105,용상초-대구중-영문고
0,박정우,Tigers,외야수,1998-02-01,175,68,역삼초-언북중-덕수고
31,박준표,Tigers,투수,1992-06-26,181,93,송정동초-진흥중-중앙고-동강대-KIA-경찰
46,박진태,Tigers,투수,1994-10-19,180,83,미성초-성남중-성남고-건국대-KIA-상무
1,박찬호,Tigers,유격수,1995-06-05,178,72,신답초-건대부중-장충고
050,백도렬,Tigers,외야수,1999-11-23,181,86,동원초(남양주리틀)-청량중-배재고-연세대
55,서덕원,Tigers,투수,1993-07-12,183,89,개운초-청량중-장충고-건국대
