BN,Name,HandInfo,Birth,Height,Weight
1,고영표,우언우타,1991-09-16,187cm,88kg
11,이대은,우투좌타,1989-03-23,189cm,90kg
18,엄상백,우언우타,1996-10-04,187cm,72kg
19,배제성,우투좌타,1996-09-29,189cm,85kg
21,이창재,좌투좌타,1992-12-29,178cm,71kg
26,김민수,우투우타,1992-07-24,188cm,80kg
30,소형준,우투우타,2001-09-16,189cm,92kg
32,쿠에바스,우투양타,1990-10-14,188cm,98kg
34,심재민,좌투우타,1994-02-18,182cm,92kg
38,주권,우투우타,1995-05-31,181cm,82kg
40,데스파이네,우투우타,1987-04-04,182cm,92kg
46,박시영,우투우타,1989-03-10,180cm,88kg
48,안영명,우투우타,1984-11-19,183cm,90kg
59,조현우,좌투좌타,1994-03-30,182cm,79kg
62,김재윤,우투우타,1990-09-16,185cm,91kg
17,허도환,우투우타,1984-07-31,176cm,87kg
22,장성우,우투우타,1990-01-17,187cm,100kg
43,김준태,우투좌타,1994-07-31,175cm,91kg
2,심우준,우투우타,1995-04-28,183cm,75kg
3,권동진,우투좌타,1998-09-12,182cm,86kg
4,오윤석,우투우타,1992-02-24,180cm,87kg
5,신본기,우투우타,1989-03-21,179cm,88kg
6,박경수,우투우타,1984-03-31,178cm,80kg
10,황재균,우투우타,1987-07-28,183cm,96kg
50,강백호,우투좌타,1999-07-29,184cm,98kg
54,천성호,우투좌타,1997-10-30,183cm,85kg
8,홍현빈,우투좌타,1997-08-29,174cm,70kg
12,송민섭,우투우타,1991-08-02,177cm,80kg
23,조용호,우투좌타,1989-09-09,170cm,75kg
24,호잉,우투좌타,1989-05-18,190cm,92kg
27,배정대,우투우타,1995-06-12,185cm,80kg
45,김태훈,우투좌타,1996-03-31,177cm,78kg
61,유한준,우투우타,1981-07-01,186cm,97kg
