BN,Name,HandInfo,Birth,Height,Weight
1,임찬규,우투우타,1992-11-20,185cm,80kg
3,켈리,우투우타,1989-10-04,191cm,98kg
11,함덕주,좌투좌타,1995-01-13,181cm,78kg
18,정우영,우언우타,1999-08-19,193cm,85kg
19,고우석,우투우타,1998-08-06,182cm,90kg
26,이민호,우투우타,2001-08-30,189cm,93kg
31,이정용,우투우타,1996-03-26,186cm,85kg
48,김지용,우투우타,1988-02-20,177cm,81kg
56,최성훈,좌투좌타,1989-10-11,178cm,75kg
57,김윤식,좌투좌타,2000-04-03,181cm,83kg
59,임준형,좌투좌타,2000-11-16,180cm,82kg
61,백승현,우투우타,1995-05-26,183cm,78kg
66,배재준,우투우타,1994-11-24,188cm,80kg
67,채지선,우투좌타,1995-07-11,180cm,70kg
69,김대유,좌투좌타,1991-05-08,187cm,92kg
4,이성우,우투우타,1981-09-01,180cm,91kg
12,김재성,우투좌타,1996-10-30,185cm,85kg
27,유강남,우투우타,1992-07-15,182cm,88kg
0,이영빈,우투좌타,2002-06-17,182cm,82kg
2,구본혁,우투우타,1997-01-11,177cm,75kg
5,김용의,우투좌타,1985-08-20,187cm,74kg
10,오지환,우투좌타,1990-03-12,186cm,80kg
14,서건창,우투좌타,1989-08-22,176cm,84kg
16,김민성,우투우타,1988-12-17,181cm,94kg
35,문보경,우투좌타,2000-07-19,182cm,89kg
8,안익훈,좌투좌타,1996-02-12,176cm,70kg
13,이형종,우투우타,1989-06-07,183cm,80kg
22,김현수,우투좌타,1988-01-12,188cm,100kg
45,문성주,좌투좌타,1997-02-20,175cm,78kg
51,홍창기,우투좌타,1993-11-21,189cm,94kg
52,이재원,우투우타,1999-07-17,192cm,100kg
55,채은성,우투우타,1990-02-06,186cm,92kg
