BN,Name,HandInfo,Birth,Height,Weight
14,손정욱,좌투좌타,1990-12-24,182cm,84kg
19,홍성민,우언양타,1989-07-15,191cm,82kg
22,이용찬,우투우타,1989-01-02,185cm,85kg
24,김건태,우투우타,1991-10-02,185cm,85kg
30,박진우,우언우타,1990-02-12,180cm,83kg
38,임정호,좌투좌타,1990-04-16,188cm,90kg
40,루친스키,우투우타,1988-12-30,188cm,91kg
45,임창민,우투우타,1985-08-25,183cm,85kg
46,원종현,우언우타,1987-07-31,182cm,83kg
51,이재학,우언우타,1990-10-04,181cm,84kg
53,신민혁,우투우타,1999-02-04,184cm,95kg
55,김진성,우투우타,1985-03-07,186cm,92kg
56,문경찬,우투우타,1992-07-08,186cm,85kg
58,김영규,좌투좌타,2000-02-10,188cm,86kg
62,송명기,우투우타,2000-08-09,191cm,93kg
67,파슨스,우투우타,1992-09-06,196cm,93kg
25,양의지,우투우타,1987-06-05,179cm,85kg
26,박대온,우투우타,1995-08-28,182cm,85kg
42,김태군,우투우타,1989-12-30,182cm,92kg
6,정현,우투우타,1994-06-01,181cm,88kg
7,김주원,우투양타,2002-07-30,185cm,83kg
13,박준영,우투우타,1997-08-05,181cm,75kg
15,도태훈,우투좌타,1993-03-18,184cm,85kg
28,윤형준,우투우타,1994-01-31,186cm,97kg
49,강진성,우투우타,1993-10-19,180cm,81kg
52,노진혁,우투좌타,1989-07-15,184cm,80kg
64,최정원,우투좌타,2000-06-24,176cm,70kg
8,김기환,우투좌타,1995-08-25,182cm,74kg
9,최승민,우투좌타,1996-07-01,181cm,73kg
12,정진기,우투좌타,1992-10-10,185cm,92kg
23,알테어,우투우타,1991-01-14,196cm,97kg
35,전민수,우투좌타,1989-03-18,177cm,76kg
47,나성범,좌투좌타,1989-10-03,183cm,100kg
