BN,Name,HandInfo,Birth,Height,Weight
1,조영우,우투좌타,1995-06-27,185cm,95kg
19,신재영,우언우타,1989-11-18,185cm,96kg
22,서진용,우투우타,1992-10-02,184cm,88kg
30,최민준,우투우타,1999-06-11,178cm,83kg
31,김상수,우투우타,1988-01-02,180cm,88kg
33,가빌리오,우투우타,1990-05-22,185cm,98kg
37,서동민,우투우타,1994-03-07,186cm,90kg
41,박민호,우언우타,1992-02-25,185cm,95kg
43,김택형,좌투좌타,1996-10-10,185cm,90kg
47,오원석,좌투좌타,2001-04-23,182cm,80kg
51,김태훈,좌투좌타,1990-05-19,176cm,88kg
67,김건우,좌투좌타,2002-07-12,185cm,88kg
95,장지훈,우투우타,1998-12-06,177cm,78kg
20,이재원,우투우타,1988-02-24,185cm,98kg
25,이현석,우투우타,1992-06-07,175cm,90kg
55,이흥련,우투우타,1989-05-16,183cm,91kg
2,박성한,우투좌타,1998-03-30,180cm,77kg
4,최항,우투좌타,1994-01-03,183cm,88kg
6,김찬형,우투우타,1997-12-29,182cm,80kg
14,최정,우투우타,1987-02-28,180cm,90kg
34,안상현,우투우타,1997-01-27,178cm,74kg
53,최주환,우투좌타,1988-02-28,178cm,73kg
68,고명준,우투우타,2002-07-08,185cm,94kg
0,김강민,우투우타,1982-09-13,182cm,87kg
17,추신수,좌투좌타,1982-07-13,180cm,95kg
24,오태곤,우투우타,1991-11-18,186cm,88kg
32,김창평,우투좌타,2000-06-14,183cm,78kg
35,한유섬,우투좌타,1989-08-09,190cm,105kg
38,고종욱,우투좌타,1989-01-11,184cm,83kg
54,최지훈,우투좌타,1997-07-23,178cm,82kg
