BN,Name,HandInfo,Birth,Height,Weight
12,장지수,우투우타,2000-05-25,176cm,81kg
15,멩덴,우투우타,1993-02-19,185cm,93kg
17,임기영,우언우타,1993-04-16,184cm,86kg
19,윤중현,우투우타,1995-04-25,180cm,84kg
20,이준영,좌투좌타,1992-08-10,177cm,85kg
21,홍상삼,우투좌타,1990-02-13,188cm,85kg
36,다카하시,우투우타,1997-01-23,183cm,102kg
38,김현준,우투우타,1997-06-05,182cm,78kg
46,박진태,우투우타,1994-10-19,180cm,83kg
50,장현식,우투우타,1995-02-24,181cm,91kg
51,전상현,우투우타,1996-04-18,182cm,84kg
55,서덕원,우투우타,1993-07-12,183cm,89kg
60,고영창,우투우타,1989-02-24,189cm,100kg
62,정해영,우투우타,2001-08-23,189cm,98kg
69,최용준,우투우타,2001-12-19,193cm,97kg
24,김민식,우투좌타,1989-06-28,180cm,80kg
40,권혁경,우투우타,2002-01-23,187cm,94kg
42,한승택,우투우타,1994-06-21,174cm,83kg
3,김선빈,우투우타,1989-12-18,165cm,77kg
8,류지혁,우투좌타,1994-01-13,181cm,75kg
22,터커,좌투좌타,1990-07-06,183cm,95kg
23,최정민,우투좌타,1989-06-02,177cm,72kg
25,박찬호,우투우타,1995-06-05,178cm,72kg
30,유민상,우투좌타,1989-04-13,186cm,101kg
41,최정용,우투좌타,1996-10-24,178cm,75kg
43,오정환,우투좌타,1999-03-27,185cm,75kg
52,황대인,우투우타,1996-02-10,178cm,100kg
57,박민,우투우타,2001-06-05,184cm,84kg
0,박정우,좌투좌타,1998-02-01,175cm,68kg
13,이창진,우투우타,1991-03-04,173cm,85kg
16,최원준,우투좌타,1997-03-23,178cm,85kg
34,최형우,우투좌타,1983-12-16,180cm,106kg
37,이우성,우투우타,1994-07-17,182cm,95kg
