BN,Name,HandInfo,Birth,Height,Weight
16,김진욱,좌투좌타,2002-07-05,185cm,90kg
22,구승민,우투우타,1990-06-12,181cm,80kg
23,김도규,우투우타,1998-07-11,190cm,98kg
32,박세웅,우투우타,1995-11-30,181cm,78kg
34,김원중,우투좌타,1993-06-14,192cm,91kg
35,이인복,우투우타,1991-06-18,187cm,94kg
45,최영환,우투우타,1992-02-20,179cm,92kg
46,정우준,우투우타,2000-03-17,183cm,86kg
47,이승헌,우투우타,1998-12-19,196cm,97kg
55,김유영,좌투좌타,1994-05-02,180cm,80kg
56,최준용,우투우타,2001-10-10,185cm,85kg
57,김동우,우투우타,1995-10-01,184cm,76kg
58,스트레일리,우투우타,1988-12-01,189cm,100kg
59,이강준,우투우타,2001-12-14,184cm,80kg
65,강윤구,좌투좌타,1990-07-10,183cm,89kg
67,프랑코,우투우타,1992-12-29,189cm,108kg
86,김창훈,우투우타,2001-11-09,185cm,98kg
1,안중열,우투우타,1995-09-01,175cm,87kg
28,손성빈,우투우타,2002-01-14,186cm,92kg
2,배성근,우투우타,1995-04-27,182cm,90kg
5,김민수,우투우타,1998-03-18,182cm,96kg
6,마차도,우투우타,1992-02-22,185cm,91kg
8,전준우,우투우타,1986-02-25,184cm,97kg
9,정훈,우투우타,1987-07-18,180cm,85kg
10,이대호,우투우타,1982-06-21,194cm,130kg
13,안치홍,우투우타,1990-07-02,178cm,88kg
25,한동희,우투우타,1999-06-01,181cm,99kg
51,나승엽,우투좌타,2002-02-15,190cm,82kg
60,이주찬,우투우타,1998-09-21,181cm,86kg
31,손아섭,우투좌타,1988-03-18,174cm,84kg
36,추재현,좌투좌타,1999-02-22,179cm,89kg
49,장두성,우투좌타,1999-09-16,176cm,67kg
68,신용수,우투우타,1996-01-05,178cm,78kg
