BN,Name,HandInfo,Birth,Height,Weight
2,우규민,우언우타,1985-01-21,184cm,75kg
4,뷰캐넌,우투우타,1989-05-11,190cm,90kg
11,홍정우,우투우타,1996-03-16,182cm,85kg
17,김대우,우언우타,1988-11-21,183cm,85kg
18,심창민,우언우타,1993-02-01,185cm,86kg
21,오승환,우투우타,1982-07-15,178cm,93kg
25,김윤수,우투우타,1999-12-08,183cm,94kg
37,노성호,좌투좌타,1989-10-22,182cm,100kg
40,최지광,우투우타,1998-03-13,173cm,85kg
43,문용익,우투우타,1995-02-04,178cm,93kg
45,이재익,좌투좌타,1994-03-18,180cm,76kg
46,원태인,우투우타,2000-04-06,183cm,92kg
56,최채흥,좌투좌타,1995-01-22,186cm,97kg
59,이상민,좌투좌타,1990-11-04,180cm,85kg
12,김민수,우투우타,1991-03-02,177cm,80kg
42,김도환,우투우타,2000-04-14,178cm,90kg
47,강민호,우투우타,1985-08-18,185cm,100kg
6,강한울,우투좌타,1991-09-12,181cm,66kg
7,김상수,우투우타,1990-03-23,175cm,68kg
8,김호재,우투우타,1995-05-31,178cm,72kg
9,김성표,우투우타,1994-03-17,179cm,65kg
16,이원석,우투우타,1986-10-21,182cm,82kg
31,오선진,우투우타,1989-07-07,178cm,80kg
32,최영진,우투우타,1988-05-10,185cm,87kg
44,오재일,좌투좌타,1986-10-29,187cm,95kg
58,김지찬,우투좌타,2001-03-08,163cm,64kg
5,구자욱,우투좌타,1993-02-12,189cm,75kg
13,박해민,우투좌타,1990-02-24,180cm,75kg
34,김헌곤,우투우타,1988-11-09,174cm,81kg
38,김동엽,우투우타,1990-07-24,186cm,101kg
63,피렐라,우투우타,1989-11-21,183cm,99kg
65,박승규,우투우타,2000-09-02,178cm,78kg
