BN,Name,HandInfo,Birth,Height,Weight
11,조상우,우투우타,1994-09-04,186cm,97kg
12,박승주,우투우타,1994-02-12,179cm,93kg
17,김태훈,우투우타,1992-03-02,185cm,95kg
20,최원태,우투우타,1997-01-07,184cm,93kg
28,김재웅,좌투좌타,1998-10-22,173cm,88kg
33,이승호,좌투좌타,1999-02-08,187cm,95kg
34,김성진,우투좌타,1997-11-14,182cm,78kg
39,양현,우언우타,1992-08-23,188cm,70kg
41,안우진,우투우타,1999-08-30,191cm,90kg
42,박주성,우투우타,2000-11-09,181cm,95kg
43,요키시,좌투우타,1989-07-29,188cm,93kg
49,김선기,우투우타,1991-09-01,187cm,94kg
58,정찬헌,우투우타,1990-01-26,187cm,94kg
60,김동혁,우투우타,2001-12-27,183cm,83kg
93,김준형,우투우타,2002-07-12,181cm,85kg
99,윤정현,좌투좌타,1993-05-17,187cm,110kg
27,박동원,우투우타,1990-04-07,179cm,92kg
32,김재현,우투우타,1993-03-18,178cm,85kg
56,이지영,우투우타,1986-02-27,178cm,85kg
1,김웅빈,우투좌타,1996-02-09,181cm,84kg
3,김혜성,우투좌타,1999-01-27,179cm,78kg
5,신준우,우투우타,2001-06-21,176cm,83kg
6,김주형,우투우타,1996-03-05,176cm,80kg
24,크레익,우투우타,1994-11-16,190cm,105kg
50,송성문,우투좌타,1996-08-29,183cm,88kg
52,박병호,우투우타,1986-07-10,185cm,107kg
62,전병우,우투우타,1992-10-24,182cm,90kg
2,변상권,우투좌타,1997-04-04,180cm,80kg
9,박정음,좌투좌타,1989-04-15,175cm,77kg
19,이용규,좌투좌타,1985-08-26,175cm,70kg
38,이주형,좌투좌타,2002-07-05,184cm,100kg
51,이정후,우투좌타,1998-08-20,185cm,78kg
53,예진원,좌투좌타,1999-03-16,174cm,85kg
