BN,Name,HandInfo,Birth,Height,Weight
1,김종수,우투우타,1994-06-03,180cm,80kg
5,윤대경,우투우타,1994-04-09,179cm,75kg
10,남지민,우투우타,2001-02-12,181cm,95kg
18,윤호솔,우투우타,1994-07-15,183cm,99kg
20,킹험,우투우타,1991-11-08,196cm,106kg
22,카펜터,좌투좌타,1990-08-22,196cm,104kg
29,김기탁,좌투좌타,1998-09-30,182cm,82kg
31,신정락,우언우타,1987-05-13,177cm,78kg
32,윤산흠,우투우타,1999-05-15,177cm,68kg
36,장민재,우투우타,1990-03-19,184cm,98kg
45,김이환,우투우타,2000-09-15,183cm,87kg
49,이충호,좌투좌타,1994-09-20,182cm,81kg
53,김민우,우투우타,1995-07-25,189cm,105kg
55,강재민,우투우타,1997-04-03,180cm,86kg
57,정우람,좌투좌타,1985-06-01,181cm,82kg
58,오동욱,우투우타,2001-02-04,185cm,80kg
60,황영국,좌투좌타,1995-12-26,185cm,83kg
61,배동현,우투좌타,1998-03-16,183cm,83kg
66,주현상,우투우타,1992-08-10,177cm,82kg
13,최재훈,우투우타,1989-08-27,178cm,76kg
44,백용환,우투우타,1989-03-20,180cm,95kg
62,장규현,우투좌타,2002-06-28,183cm,96kg
7,이도윤,우투좌타,1996-10-07,173cm,71kg
8,노시환,우투우타,2000-12-03,185cm,96kg
14,페레즈,우투우타,1991-03-26,0cm,0kg
16,하주석,우투좌타,1994-02-25,184cm,84kg
25,김태연,우투우타,1997-06-10,178cm,99kg
43,정은원,우투좌타,2000-01-17,177cm,78kg
67,송호정,우투좌타,2002-03-10,185cm,78kg
6,이성곤,우투좌타,1992-03-25,186cm,93kg
24,임종찬,우투좌타,2001-09-28,184cm,85kg
30,장운호,우투우타,1994-02-20,183cm,85kg
50,이원석,우투우타,1999-03-31,177cm,70kg
