BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
108,강동형,Bears,외야수,1999-12-07,186,86,용인초(구리리틀)-마산중-배명고-경성대
111,강산,Bears,포수,2003-08-08,176,78,대해초-덕수중-서울컨벤션고
23,강승호,Bears,2수,1994-02-09,178,88,순천북초-천안북중-북일고-LG-경찰-LG-SK
97,강원진,Bears,투수,2002-03-13,190,104,연현초-원당중-백송고
49,강진성,Bears,외야수,1993-10-19,176,89,가동초-잠신중-경기고-NC-경찰-NC
30,강현구,Bears,외야수,2002-06-16,186,98,서울도림초(인천남동구리틀)-동산중-인천고
47,곽빈,Bears,투수,1999-05-28,187,95,서울학동초-자양중-배명고
7,권민석,Bears,2루수,1999-02-20,184,74,영랑초(수원영통구리틀)-설악중-강릉고
38,권휘,Bears,투수,2000-12-07,181,87,대림초-강남중-덕수고
27,김강률,Bears,투수,1988-08-28,187,95,문촌초(일산리틀)-장성중-경기고-두산-상무
37,김대한,Bears,외야수,2000-12-06,185,83,숭인초(강북구리틀)-덕수중-휘문고
93,김도윤,Bears,투수,2002-06-28,181,83,신도초(계룡시리틀)-현도중-청주고
102,김동주,Bears,투수,2002-02-14,190,90,갈산초-양천중-선린인터넷고
67,김동준,Bears,외야수,2002-09-04,193,100,군산신풍초-군산중-군산상고
46,김명신,Bears,투수,1993-11-29,178,90,남도초-대구중-경북고-경성대
33,김문수,Bears,유격수,1997-08-10,185,95,어방초(김해엔젤스리틀)-대신중-대구고-강릉영동대
18,김민혁,Bears,1루수,1996-05-03,188,100,광주대성초-광주동성중-광주동성고
56,김성민,Bears,투수,2000-08-27,182,95,학강초-광주동성중-진흥고
110,김시완,Bears,외야수,2004-01-28,180,84,서울이수초-선린중-경동고
39,김인태,Bears,외야수,1994-07-03,178,78,포항제철서초-천안북중-북일고-두산-경찰
52,김재호,Bears,유격,1985-03-21,181,75,남정초-중앙중-중앙고-두산-상무
32,김재환,Bears,외야수,1988-09-22,183,90,영랑초-상인천중-인천고-두산-상무
19,김지용,Bears,투수,1988-02-20,174,86,이문초-청량중-중앙고-강릉영동대-LG
92,김태근,Bears,외야수,1996-08-10,175,74,광진초(광진구리틀)-건대부중-배명고-건국대-두산-상무
11,남호,Bears,투수,2000-07-20,185,86,연천초-수원북중-유신고-LG
59,문대원,Bears,투수,1998-08-22,187,91,사당초-휘문중-강릉고
57,미란다,Bears,투수,1989-01-10,188,86,쿠바
14,박계범,Bears,2루수,1996-01-11,177,84,순천북초-순천이수중-효천고-삼성-상무-삼성
104,박성재,Bears,포수,2002-11-18,186,98,가산초-개성중-부산고
10,박세혁,Bears,포수,1990-01-09,181,86,수유초-신일중-신일고-고려대-두산-상무
43,박소준,Bears,투수,1995-01-21,177,68,청주우암초-청주중-청주고
66,박신지,Bears,투수,1999-07-16,185,75,목암초(의정부리틀)-영동중-경기고-두산-상무
63,박웅,Bears,투수,1997-11-12,192,103,북정초-원동중-경남고-강릉영동대
26,박유연,Bears,포수,1998-12-20,177,77,광주화정초-동산중-동산고
