BN,NAME,TEAM,POSITION,BIRTH,HEIGHT,WEIGHT,SCHOOL
50,강백호,Wiz,1루수,1999-07-29,184,98,부천북초-서울이수중-서울고
9,고명성,Wiz,유격수,1999-04-16,178,68,군산남초-군산남중-군산상고
37,고성민,Wiz,포수,1996-07-10,180,88,금샘초(사상리틀)-사직중-부산고-경성대-Wiz-상무
1,고영표,Wiz,투수,1991-09-16,187,88,광주대성초-광주동성중-화순고-동국대
3,권동진,Wiz,유격수,1998-09-12,182,86,제주신광초-세광중-세광고-원광대
105,권성준,Wiz,투수,2003-03-09,185,88,대구옥산초-경북중-경북고
98,김대현,Wiz,내야수,1998-01-13,183,86,서울이수초-서울이수중-장충고-홍익대
5,김만수,Wiz,포수,1996-04-18,180,80,순천북초-순천이수중-효천고
26,김민수,Wiz,투수,1992-07-24,188,80,청원초-청원중-청원고-성균관대-Wiz-상무
53,김민혁,Wiz,외야수,1995-11-21,181,71,광주서석초-배재중-배재고-Wiz-상무
106,김병준,Wiz,외야수,2003-07-03,175,80,창촌초(안산리틀)-안산중앙중-유신고
14,김병희,Wiz,1루수,1990-12-06,180,82,창영초-신흥중-동산고-동국대
93,김성균,Wiz,내야수,2001-07-06,185,93,고명초-자양중-신일고
97,김영현,Wiz,투수,2002-08-18,178,81,광주화정초-광주동성중-광주동성고
62,김재윤,Wiz,투수,1990-09-16,185,91,서울도곡초-휘문중-휘문고
44,김준태,Wiz,포수,1994-07-31,175,91,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데
20,김태오,Wiz,투수,1997-07-29,183,84,연현초-양천중-서울고-Wiz-상무
45,김태훈,Wiz,외야수,1996-03-31,177,78,진흥초(안산리틀)-평촌중-유신고
94,김한별,Wiz,투수,1997-09-03,185,84,안양초-평촌중-유신고-NC-넥센-키움
40,데스파이네,Wiz,투수,1987-04-04,182,92,미국HermanosMartinezTamayo(고)
25,라모스,Wiz,외야수,1992-04-15,183,97,푸에르토리코AlfonsoCastaMartinez(고)
29,류희운,Wiz,투수,1995-06-19,191,103,천안남산초-천안북중-북일고
33,문상인,Wiz,포수,1998-01-31,185,79,김해삼성초-개성중-경남고
0,문상준,Wiz,유격수,2001-03-14,183,80,가동초-휘문중-휘문고
24,문상철,Wiz,외야수,1991-04-06,184,85,중대초-잠신중-배명고-고려대-Wiz-상무
6,박경수,Wiz,2루수,1984-03-31,178,80,미성초-성남중-성남고-LG
52,박병호,Wiz,1루수,1986-07-10,185,107,영일초(광명리틀)-영남중-성남고-LG-상무-LG-히어로즈-미네소타-넥센-키움
46,박시영,Wiz,투수,1989-03-10,180,88,축현초-인천신흥중-제물포고-(영남사이버대)-롯데
67,박시윤,Wiz,투수,1999-03-08,185,90,울산대현초-마산제일중-용마고
60,박영현,Wiz,투수,2003-10-11,183,91,부천북초-부천중-유신고
99,박주현,Wiz,투수,1999-08-03,184,83,철산초-영동중-충암고
27,배정대,Wiz,외야수,1995-06-12,185,80,도신초-성남중-성남고-(디지털문예대)-LG-Wiz-경찰
19,배제성,Wiz,투수,1996-09-29,189,85,백마초-성남중-성남고-롯데
35,백선기,Wiz,외야수,1998-08-27,186,70,남도초-경상중-대구상원고
30,소형준,Wiz,투수,2001-09-16,189,92,호암초(의정부리틀)-구리인창중-유신고
12,송민섭,Wiz,외야수,1991-08-02,177,80,청파초(안산리틀)-선린중-선린인터넷고-단국대-Wiz-상무
107,송현제,Wiz,투수,1999-04-29,179,90,서울이수초-대치중-배명고-고려대
109,신범준,Wiz,투수,2002-06-01,189,78,원일초(수원영통구리틀)-매향중-장안고
15,신병률,Wiz,투수,1996-01-30,175,83,둔촌초-잠신중-휘문고-단국대
7,신본기,Wiz,유격수,1989-03-21,179,88,감천초-경남중-경남고-동아대-롯데-경찰-롯데
2,심우준,Wiz,유격수,1995-04-28,183,75,송정동초-언북중-경기고
34,심재민,Wiz,투수,1994-02-18,182,92,장유초(김해엔젤스리틀)-개성중-개성고-(전남과학대)
108,안광준,Wiz,투수,1999-11-26,183,79,영랑초-설악중-설악고-동국대
48,안영명,Wiz,투수,1984-11-19,183,90,천안남산초-천안북중-북일고-(대전대)-한화-KIA-한화
57,안치영,Wiz,3루수,1998-05-29,176,72,중동초(원미구리틀)-천안북중-북일고
102,안현민,Wiz,포수,2003-08-22,183,90,임호초(김해리틀)-개성중-마산고
49,안현준,Wiz,투수,1995-03-23,187,85,내덕초-청주중-세광고
