Player,Salary
황재균,120000
호잉,80000
쿠에바스,60000
알몬테,52500
유한준,50000
데스파이네,45000
박경수,40000
안영명,35000
강백호,21000
이보근,20000
주권,15000
장성우,13500
심우준,13000
신본기,12500
김재윤,12000
고영표,12000
배제성,11000
전유수,10000
김민혁,9000
유원상,8000
심재민,8000
박승욱,8000
박시영,7900
조용호,7000
이홍구,7000
김민수,6500
허도환,6500
이대은,5000
배정대,4800
송민섭,4700
하준호,4500
이창재,4200
강민국,4000
문상철,4000
안승한,3700
류희운,3500
이종혁,3400
이정현,3300
강민성,3300
김성훈,3200
이상동,3200
안현준,3200
김만수,3100
박민석,3000
김도현,3000
조현우,3000
강현우,3000
정주원,3000
최성민,3000
김영현,3000
김건형,3000
유준규,3000
권동진,3000
한차현,3000
신범준,3000
김병희,3000
박준호,3000
한승지,3000
윤세훈,3000
조한욱,3000
정주후,3000
김민서,3000
지명성,3000
이선우,3000
김태훈,2900
홍현빈,2900
문상인,2800
전진영,2700
백선기,2700
천성호,2700
김대현,2700
박규민,2700
조대현,2700
조병욱,2700
이강준,2700
윤준혁,2700
소형준,2700
고영찬,2700
문상준,2700
김성균,2700
윤종휘,2700
최태성,2700
김종성,2700
