Player,Salary
김현수,130000
차우찬,100000
켈리,90000
오지환,60000
라모스,60000
김민성,40000
수아레즈,40000
채은성,32000
보어,30000
이천웅,28000
송은범,27000
진해수,25000
유강남,23000
고우석,22000
함덕주,21000
이형종,20000
임찬규,13500
정찬헌,13000
정주현,12500
김지용,11000
임정우,10500
이상호,10000
김용의,10000
고효준,10000
이성우,8000
정우영,8000
이우찬,7500
최동환,7000
배재준,5700
신민재,5000
최성훈,4700
김대유,4500
구본혁,4000
홍창기,3800
박재욱,3500
장준원,3400
백승현,3400
손주영,3300
한선태,3200
최민창,3100
김재성,3100
김주성,3100
문성주,3100
이상영,3100
하영진,3000
조용근,3000
이정우,3000
강민,3000
조건희,3000
함창건,3000
김지용,3000
강효종,3000
김진수,3000
이영빈,3000
이믿음,3000
송승기,3000
박민호,3000
김형욱,3000
김대현,3000
이주형,3000
오석주,3000
임지섭,3000
김기연,3000
김유민,3000
최우혁,3000
류원석,3000
이상규,2900
채지선,2800
한석현,2700
이동규,2700
김호은,2700
이민호,2700
김윤식,2700
임준형,2700
문보경,2700
이재원,2700
이정용,2700
이찬혁,2700
손호영,2700
