Player,Salary
양의지,200000
알테어,110000
루친스키,100000
박석민,70000
박민우,52000
나성범,50000
파슨스,32000
모창민,30000
이재학,27500
원종현,26000
이명기,24000
김태군,20000
구창모,18000
김진성,16000
임창민,16000
강윤구,15500
노진혁,14000
권희동,13500
박진우,11500
문경찬,11500
지석훈,10000
이용준,10000
최금강,10000
홍성민,10000
임정호,9200
김건태,9000
김준완,8000
이원재,6600
김영규,6300
정범모,5500
전민수,5000
손정욱,4600
강진성,3800
강동연,3400
최정원,3300
도태훈,3200
이재율,3100
배민서,3100
소이현,3100
윤수강,3100
박시원,3000
박지한,3000
이종준,3000
김범준,3000
한재환,3000
김진우,3000
김재중,3000
김정호,3000
조성현,3000
김준상,3000
오장한,3000
오태양,3000
김주원,3000
한재승,3000
임형원,3000
최승민,3000
윤형준,3000
박정수,3000
이호중,3000
김영중,3000
이도현,3000
이재용,3000
김민수,3000
권법수,3000
김철호,3000
천재환,3000
최보성,3000
이승헌,3000
노시훈,2700
김태경,2700
김기환,2700
박준영,2700
류진욱,2700
김진호,2700
김태현,2700
정구범,2700
안인산,2700
강태경,2700
신민혁,2700
송명기,2700
