Player,Salary
추신수,270000
이재원,130000
최정,120000
로맥,90000
폰트,85000
르위키,55000
김강민,35000
김상수,30000
정의윤,30000
박종훈,29000
최주환,27000
문승원,25700
한유섬,25000
가빌리오,24600
김태훈,24000
김성현,21000
서진용,20000
고종욱,17000
하재훈,15000
이태양,14000
박민호,10000
오태곤,9500
김세현,8000
최항,7500
이흥련,7000
정영일,6500
신재웅,5500
김찬형,4800
정진기,4600
김택형,3700
정수민,3600
조영우,3300
유서준,3100
박제범,3000
양선률,3000
류효승,3000
이재성,3000
길지석,3000
허민혁,3000
현원회,3000
채현우,3000
김건우,3000
박형준,3000
권혁찬,3000
조요한,3000
장우준,3000
고명준,3000
조형우,3000
박정빈,3000
조병현,3000
장지훈,3000
김창평,3000
이정범,3000
최수빈,3000
김경호,3000
이재록,3000
이건욱,3000
허웅,3000
이현석,3000
남태혁,3000
김찬호,3000
임석진,3000
조성훈,3000
최민준,3000
강지광,3000
서동민,3000
김표승,3000
최경태,3000
오준혁,3000
이채호,3000
정현,3000
유호식,3000
정동윤,3000
신동민,2800
김민재,2700
박성한,2700
오원석,2700
김성민,2700
김주온,2700
박시후,2700
김정빈,2700
전의산,2700
최지훈,2700
