Player,Salary
최형우,150000
브룩스,100000
터커,70000
나지완,60000
다카하시,60000
김선빈,45000
멩덴,42500
최원준,13000
박준표,11000
장현식,11000
류지혁,10500
유민상,10500
박찬호,10500
김윤동,10000
나주환,10000
김태진,9000
김민식,8800
김호령,8500
이창진,8500
심동섭,8000
한승택,8000
전상현,7600
임기영,7000
하준영,6500
박진태,6000
장영석,6000
고영창,5800
이준형,5000
황윤호,4500
이민우,4300
홍상삼,4000
문선재,4000
이준영,4000
백용환,4000
변시원,4000
이우성,4000
최정용,3600
김명찬,3500
최정민,3500
황인준,3400
이진영,3400
김영환,3300
차명진,3300
양승철,3200
한준수,3100
이동건,3100
남재현,3100
이승재,3000
박건우,3000
오규석,3000
백현종,3000
이의리,3000
장민기,3000
권혁경,3000
김원경,3000
박대명,3000
김선우,3000
장시현,3000
김연준,3000
이영재,3000
이준범,3000
송후섭,3000
최승주,3000
이정훈,3000
윤중현,3000
김유신,3000
백미카엘,3000
김현수,3000
홍원빈,3000
오선우,3000
황대인,3000
김규성,2900
김현준,2900
서덕원,2800
박정우,2800
김재열,2700
이인한,2700
박민,2700
최용준,2700
장재혁,2700
정해영,2700
김양수,2700
