Player,Salary
김재환,65000
김재호,65000
미란다,55000
로켓,49300
허경민,48000
박건우,45000
페르난데스,40000
이현승,40000
정수빈,34000
장원준,30000
유희관,30000
오재원,30000
이영하,27000
박세혁,23200
양석환,21000
윤명준,21000
김강률,15000
이형범,14200
박치국,8000
최원준,5900
박계범,5500
김민규,5500
홍건희,5300
김명신,5200
김인태,5000
강승호,5000
국해성,5000
신성현,4800
이승진,4700
조수행,4500
백동훈,3600
장승현,3500
곽빈,3500
김민혁,3400
고봉재,3300
서예일,3200
조제영,3100
황경태,3100
박지훈,3100
이주엽,3100
김도윤,3000
김도경,3000
김동주,3000
최승용,3000
안재석,3000
양현진,3000
임태윤,3000
백종수,3000
박성재,3000
장빈,3000
이상연,3000
오세훈,3000
안찬호,3000
강원진,3000
강현구,3000
김주완,3000
최종인,3000
정우석,3000
신창희,3000
백민규,3000
지윤,3000
이민혁,3000
장규빈,3000
박성모,3000
박종기,2900
최용제,2800
문대원,2700
이동원,2700
박웅,2700
권민석,2700
권휘,2700
남호,2700
이교훈,2700
김문수,2700
안권수,2700
최세창,2700
오명진,2700
