Player,Salary
이대호,250000
손아섭,200000
스트레일리,90000
민병헌,50000
스트레일리,50000
마차도,50000
전준우,50000
안치홍,29000
프랑코,24500
노경은,20000
진명호,12500
박세웅,11000
김원중,10000
구승민,8000
오현택,7500
정훈,6400
김유영,6200
김건국,6000
지시완,5700
이병규,5500
강로한,5300
송승준,5000
한동희,4700
서준원,4600
나균안,4300
나종덕,4300
오윤석,4000
김준태,3800
강동호,3500
한승혁,3400
최영환,3400
박영완,3200
배성근,3200
박명현,3200
엄태호,3100
홍민기,3100
나승엽,3000
박재민,3000
김진욱,3000
김창훈,3000
최우인,3000
이병준,3000
송재영,3000
정우준,3000
우강훈,3000
손성빈,3000
권동현,3000
김동규,3000
이인복,3000
김주현,3000
홍지훈,3000
김민수,3000
나원탁,3000
김도규,3000
김동우,3000
김정주,3000
장두성,3000
신용수,2900
김대우,2900
김재유,2900
정보근,2900
윤성빈,2800
최민재,2800
이주찬,2700
박종무,2700
최종은,2700
강태율,2700
김강현,2700
추재현,2700
최준용,2700
이승헌,2700
이호연,2700
