Player,Salary
강민호,125000
오승환,120000
우규민,70000
뷰캐넌,60000
피렐라,50000
라이블리,50000
오재일,47000
몽고메리,45000
박해민,30000
이원석,30000
심창민,28000
구자욱,28000
백정현,28000
김상수,25000
장필준,21500
김헌곤,19000
최채흥,16000
김동엽,13500
최지광,12000
강한울,12000
김대우,11500
이승현,10000
임현준,10000
이학주,9000
최충연,9000
원태인,8000
최영진,8000
김재현,5500
김도환,5200
양창섭,5000
백승민,4700
김민수,4300
이성규,4300
장지훈,4200
김호재,4000
송준석,4000
노성호,4000
권정웅,4000
임대한,4000
최선호,3800
김윤수,3700
이성곤,3500
양우현,3300
안주형,3300
김응민,3200
박승규,3200
이상민,3200
한연욱,3200
김준우,3100
홍원표,3100
김경민,3100
주한울,3000
이현동,3000
이승현,3000
이재희,3000
김동진,3000
홍무원,3000
홍승원,3000
김세민,3000
조경원,3000
김결의,3000
이창용,3000
봉민호,3000
이기용,3000
홍정우,3000
오현석,3000
김태수,3000
박세웅,3000
김현준,3000
김성윤,2900
이재익,2800
구준범,2800
김성표,2800
박주혁,2700
김지찬,2700
이태훈,2700
이승민,2700
허윤동,2700
이해승,2700
이수민,2700
황동재,2700
