Player,Salary
정우람,80000
킹험,50000
힐리,50000
이성열,40000
카펜터,30000
페레즈,30000
노수광,21000
최재훈,20000
하주석,14000
정은원,12000
정진호,12000
신정락,12000
장민재,11000
장시환,11000
오선진,10500
임준섭,8800
김진영,7900
강경학,7800
김범수,6500
이해창,5500
김민하,4500
김민우,4200
김진욱,3900
김종수,3800
장운호,3800
서균,3700
김이환,3700
문동욱,3600
최인호,3400
노태형,3400
조한민,3400
이동훈,3300
오동욱,3300
노시환,3300
장웅정,3300
주현상,3300
정기훈,3200
유장혁,3200
김지수,3100
박한결,3100
김태욱,3000
송호정,3000
장규현,3000
조은,3000
배동현,3000
김기중,3000
정인욱,3000
정민규,3000
김규연,3000
문승진,3000
이준기,3000
안진,3000
안창호,3000
이종완,3000
장지승,3000
김승일,3000
강상원,3000
이승관,3000
조현진,3000
박준범,3000
이도윤,3000
김병현,3000
권용우,3000
이충호,2900
윤호솔,2900
황영국,2900
윤대경,2800
박상언,2800
김기탁,2700
강재민,2700
허관회,2700
김현민,2700
남지민,2700
신지후,2700
한승주,2700
박정현,2700
임종찬,2700
송윤준,2700
최이경,2700
